procedure,proc_group
DL + STOP BLEEDING,สาขา:หู คอ จมูก
DL C BIOPSY,Skin_softtissue
DL C BX,สาขา:หู คอ จมูก
DL C ESOPHAGOSCOPY C BX,ENT
DL C MICRO EXCISION,Skin_softtissue
DL C TELE C BIOPSY +/- TRACHEOSTOMY,Tracheostomy
DL C TELE C BIOPSY C TRACHEOSTOMY,Tracheostomy
DL TO TCC RT IJV,Central_line
DL WITH BIOPSY,Skin_softtissue
DL+BIOPSY,Skin_softtissue
DL+BIOPSY+-RT TONSILLECTOMY,ENT
DL+BX+CHANGE TUBE,สาขา:หู คอ จมูก
DL+EXCISION,Skin_softtissue
DL-BX,สาขา:หู คอ จมูก
DL-TELE BX,สาขา:หู คอ จมูก
DLC --> TCC AT RT. IJV,Central_line
DLC --> TCC AT RT.IJV,Central_line
DLC --> TCC RT.IJV,Central_line
DLC AT FV,สาขา:หลอดเลือด
DLC AT LT IJV,Central_line
DLC AT RT IJV,Central_line
DLC AT RT.IJV,Central_line
DLC AT RT.IJV + LIGATE AVF LT.WRIST,Vascular_access
DLC C TK INSERTION,สาขา:หลอดเลือด
DLC INSERTION AT RT CFV,สาขา:หลอดเลือด
DLC LT IJV,Central_line
DLC LT IJV C OFF TK UNDER LA,Central_line
DLC RT IJV,Central_line
DLC TO IJV,Central_line
DLC TO TCC,สาขา:หลอดเลือด
DLC TO TCC AT LT. CFV,สาขา:หลอดเลือด
DLC TO TCC AT RT IJV,Central_line
DLC TO TCC AT RT. IJV,Central_line
DLC TO TCC AT RT.IJV,Central_line
DLC TO TCC LEFT IJV,Central_line
DLC TO TCC LT IJV,Central_line
DLC TO TCC LT IJV +/- VENOGRAM,Central_line
DLC TO TCC LT IJV OR NEW TCC RT IJV,Central_line
DLC TO TCC LT. IJV OR NEW TCC RT.IJV,Central_line
DLC TO TCC LT.IJV,Central_line
DLC TO TCC RT FV,สาขา:ศัลยกรรมทั่วไป
DLC TO TCC RT IJV,Central_line
DLC TO TCC RT IJV + AVF LT WRIST,Vascular_access
DLC TO TCC RT. IJV,Central_line
DLC TO TCC RT. IJV UNDER LA,Central_line
DLC TO TCC RT.CFV,สาขา:หลอดเลือด
DLC TO TCC RT.IJV,Central_line
DLC TO TCC RT.IJV + OFF TK CATHETER,Central_line
DOUBLE BYPASS,สาขา:ตับ/ตับอ่อน/ทางเดินน้ำดี
DOUBLE DJ STENT,Vascular_interv
DOUBLE SET UP COLONOSCOPY WITH LAP SIGMOIDECTOMY,Endoscopy_GI
DOWNHILL ANGIOPLASTY,Vascular_interv
DOWNHILL ANGIOPLASTY LEFT LEG,Vascular_interv
DOWNHILL ANGIOPLASTY LT LEG,Vascular_interv
DOWNHILL ANGIOPLASTY OF LT LEG,Vascular_interv
DOWNHILL ANGIOPLASTY OF RT LEG,Vascular_interv
DOWNHILL ANGIOPLASTY WITH PTA,Vascular_interv
DOWNHILL BALLOON ANGIOPLASTY,Vascular_interv
DOWNHILL BALLOON ANGIOPLASTY LT. LEG,Vascular_interv
DOWNHILL BALLOON ANGIOPLASTY RT LEG,Vascular_interv
DOWNHILL BALLOON ANGIOPLASTY RT. LEG,Vascular_interv
DOWNHILL WITH RETROGRADE ANGIOPLASTY LT LEG,Vascular_interv
DRAINAGE LEFT BREAST,Breast
DRESSING STSG AND CHANGE VAC DRESSING,สาขา:ตกแต่ง
DRESSING WD DONOR SITE[RT LEG] AND CHANGE VAC DRESSING [LT LEG],สาขา:ตกแต่ง
DRESSING WOUND + RE-SUTURE,Skin_softtissue
DRESSING WOUND + WOUND IRRIGATION,Skin_softtissue
DRESSING WOUND +/- DEBRIDEMENT,Skin_softtissue
DRESSING WOUND AND DEBRIDEMENT,Skin_softtissue
DRESSING WOUND C DB,Skin_softtissue
DRESSING WOUND C DEBRIDEMENT,Skin_softtissue
"DRESSING WOUND RT LEG, LT FOOT",Skin_softtissue
DRESSING WOUND RT.LEG,Skin_softtissue
DRESSING WOUND WITH SHOELACE PROCEDURE,Skin_softtissue
DRESSING WOUND WITH SUTURE,Skin_softtissue
DS C RETENSION SUTURE,Skin_softtissue
DS C RETENTION SUTURE,Skin_softtissue
E&C,สาขา:ลำไส้ใหญ่และทวารหนัก
E+C,สาขา:ลำไส้ใหญ่และทวารหนัก
E.C.,สาขา:ตกแต่ง
EARLY LC,Hepatobiliary
EC,สาขา:ตกแต่ง
EC + BX,สาขา:ลำไส้ใหญ่และทวารหนัก
EC + EXCISION,Skin_softtissue
EC +/- EXCISION RESIDUAL TUMOR,Skin_softtissue
"EC, EXCISION",Skin_softtissue
"EC, EXCISION AT NOSE",ENT
ED COLONOSCOPY + BX,Endoscopy_GI
EGD,Endoscopy_GI
EGD & COLONO,Endoscopy_GI
EGD & COLONOSCOPE,Endoscopy_GI
EGD & COLONOSCOPY,Endoscopy_GI
EGD (OPD CASE),Endoscopy_GI
EGD (OPTIME 15 MIN),Endoscopy_GI
EGD * SUSPECTED CA ESOPHAGUS,Endoscopy_GI
EGD + CLO TEST,Endoscopy_GI
EGD + COLNOSCOPY,Endoscopy_GI
EGD + COLONO,Endoscopy_GI
EGD + COLONOSCCPY,Endoscopy_GI
EGD + COLONOSCOOPY,Endoscopy_GI
EGD + COLONOSCOOY,Endoscopy_GI
EGD + COLONOSCOPE,Endoscopy_GI
EGD + COLONOSCOPE (OPTIME45MIN),Endoscopy_GI
EGD + COLONOSCOPE + EXCISIONAL RECTAL POLYP,Endoscopy_GI
EGD + COLONOSCOPE+ EXCISIONAL BIOPSY RT GROIN MASS,Endoscopy_GI
EGD + COLONOSCOPY,Endoscopy_GI
EGD + COLONOSCOPY (IPD CASE),Endoscopy_GI
EGD + COLONOSCOPY (OPTIME 30 MIN),Endoscopy_GI
EGD + COLONOSCOPY (SURVEILLANCE),Endoscopy_GI
EGD + COLONOSCOPY + ANAL STRICTUROPLASTY,Endoscopy_GI
EGD + COLONOSCOPY + REMORE PORT A,Endoscopy_GI
EGD + COLONOSCOPY + REMOVE CHEMOPO,Endoscopy_GI
EGD + COLONOSCOPY + RFA HEMORRHOIDPLASTY,Endoscopy_GI
EGD + COLONOSCOPY + TRANSANAL EXCISION,Endoscopy_GI
EGD + COLONOSCOPY THEN RFA HEMORRHOIDOPLASTY,Endoscopy_GI
"EGD + COLONOSCOPY, OTHER ENDOSCOPY OF SMALL INTESTINE",Endoscopy_GI
EGD + COLONOSCPY,Endoscopy_GI
EGD + COLONOSOCPY,Endoscopy_GI
EGD + COLONSCOPY,Endoscopy_GI
EGD + COLONSOCOPY,Endoscopy_GI
EGD + COLONSOCOPY THEN ROGHT HERNIOPLASTY,Endoscopy_GI
EGD + COLOSNOSCOPY,Endoscopy_GI
EGD + NG INSERTION,Endoscopy_GI
EGD + NJ TUBE INSERTION,Endoscopy_GI
EGD + REMOVE,Endoscopy_GI
EGD +- DILATATION (OPTIME30MIN),Endoscopy_GI
EGD +/- BX,Endoscopy_GI
EGD +CHANGE GASTROSTOMY,Endoscopy_GI
EGD +COLONOSCOPY,Endoscopy_GI
EGD +COLONOSOCPY,Endoscopy_GI
EGD -- > LC,Endoscopy_GI
EGD --> LC,Endoscopy_GI
EGD AND COLONOSCOPY,Endoscopy_GI
EGD BX +/- IV SEDATE,Endoscopy_GI
EGD C BIOPSY,Endoscopy_GI
EGD C COLONOSCOPE,Endoscopy_GI
EGD C COLONOSCOPY,Endoscopy_GI
EGD C REMOVE FB,Endoscopy_GI
EGD COLONO,Endoscopy_GI
EGD COLONOSCOPE,Endoscopy_GI
EGD COLONOSCOPEY,Endoscopy_GI
EGD COLONOSCOPY,Endoscopy_GI
EGD COLONOSCOPY + HERNIA REPAIR,Endoscopy_GI
EGD COLONOSCOPY +HEMORRHOIDECTOMY,Endoscopy_GI
EGD OPD CASE (OPTIIME15MIN),Endoscopy_GI
EGD SCOPE,Endoscopy_GI
EGD SURVIELLANCE COLONOSCOPE,Endoscopy_GI
EGD UNDER LA WITH MAC,Endoscopy_GI
EGD WITH COLONOSCOPE,Endoscopy_GI
EGD WITH COLONOSCOPY,Endoscopy_GI
EGD WITH DILATION OF ESOPHAGUS,Endoscopy_GI
EGD WITH IRRIGATION,Endoscopy_GI
EGD WITH NG INSERTION+- DOUBLE SET UP OPEN FEEDING JEJUNOSTOMY,Endoscopy_GI
EGD WITH REMOVE STENT,Endoscopy_GI
EGD WITH STRICTUROPLASTY,Endoscopy_GI
EGD&COLONOSCOPY,Endoscopy_GI
EGD+ COLONOSCOPE,Endoscopy_GI
EGD+ COLONOSCOPE + EXAM UNDER ANESTHESIA,Endoscopy_GI
EGD+ COLONOSCOPY,Endoscopy_GI
EGD+ OPENED WEDGE STOMACH + WEDGE DIAPHRAGM + REMOVED PERITRONEAL NODULE,Endoscopy_GI
EGD+BX,Endoscopy_GI
EGD+COLONO,Endoscopy_GI
EGD+COLONO + LIS + EXCISION SKIN TAG,Endoscopy_GI
EGD+COLONO+LIS,Endoscopy_GI
EGD+COLONOCOPY,Endoscopy_GI
EGD+COLONOSCOOPY,Endoscopy_GI
EGD+COLONOSCOPE,Endoscopy_GI
EGD+COLONOSCOPY,Endoscopy_GI
EGD+COLONOSCOPY (OPTIME 45 MIN),Endoscopy_GI
EGD+COLONOSCOPY (OPTIME 45MIN),Endoscopy_GI
EGD+COLONOSCOPY (OPTIME1 HR),Endoscopy_GI
EGD+COLONOSCOPY (OPTIME45MIN),Endoscopy_GI
EGD+COLONOSCOPY (SURVEILLANCE),Endoscopy_GI
EGD+COLONOSCOPY + LASER HEMORRHOIDOPLASTY,Endoscopy_GI
EGD+COLONOSCOPY + LIS,Endoscopy_GI
EGD+COLONOSCOPY + TATTOOING POST EMR + EMR,Endoscopy_GI
EGD+COLONOSCOPY WITH HEMORRHOIDECTOMY,Endoscopy_GI
EGD+COLONOSCOPY+HEMORRHOIDECTOMY,Endoscopy_GI
EGD+COLONOSCPY,Endoscopy_GI
EGD+COLONOSOCPY,Endoscopy_GI
EGD+COLONSCOPE,Endoscopy_GI
EGD+COLOSCOPY,Endoscopy_GI
EGD+LT MRM,Endoscopy_GI
EGD+RANDOM BIOPSY,Endoscopy_GI
EGD+STENT,Endoscopy_GI
"EGD, COLONOSCOPY",Endoscopy_GI
EL,GI_abdominal
EL + CLOSURE ILEOSTOMY,สาขา:ลำไส้ใหญ่และทวารหนัก
EL + DRAINAGE + T TUBE INSERTION,สาขา:ตับ/ตับอ่อน/ทางเดินน้ำดี
EL + EN BLOC RESECTION,สาขา:ศัลยกรรมทั่วไป
EL + EXCISION FISTULA TRACT + LN BIOPSY,Vascular_access
EL + LEFT HEPATECTOMY + GASTRECTOMY WITH RECONSTRUCTION,Hepatobiliary
EL + RESECTION,สาขา:ศัลยกรรมทั่วไป
EL + RESECTION MASS AT LT. PSOASMUSCLE + CYSTOSCOPE FOR URETERIC STENT,Cystoscopy_URO
EL +/- COLOSTOMY,สาขา:ศัลยกรรมทั่วไป
EL C CHANGE VAC DRESSING,สาขา:ศัลยกรรมทั่วไป
EL C EN-BLOC RESECTION,สาขา:ศัลยกรรมทั่วไป
EL C INCISIONAL BX LN AT RT ILIAC A,สาขา:ศัลยกรรมทั่วไป
EL C REPAIR LEST URETER,Cystoscopy_URO
EL WEDGE S6,สาขา:ศัลยกรรมทั่วไป
EL WITH AR WITH WEDGE BLADDER,สาขา:ศัลยกรรมทั่วไป
EL WITH CHANGE VACCUUM DRESSING,สาขา:ศัลยกรรมทั่วไป
EL WITH CLOSURE HARTMANN WITH REPAIR HERNIA +/-TRANSVERSE COLOSTOMY 17/5/2567,GI_abdominal
EL WITH SECOND LOOK OPERATION,สาขา:ศัลยกรรมทั่วไป
EL WITH TUMOR REMOVAL,สาขา:ศัลยกรรมทั่วไป
EL+SMALL BOWEL RESECTION+ REVISE OSTOMY,GI_abdominal
ELECTROCAUTERIZATION,สาขา:ลำไส้ใหญ่และทวารหนัก
ELECTRODISSICATION AND CURETTAGE,สาขา:ศัลยกรรมทั่วไป
ELETROCAUTERY URETHRAL THEN CYSTOSCOPE,Cystoscopy_URO
ELEVATE DEPRESS SKULL FRACTURE C ORIF P&S FIXATION,สาขา:ประสาทและสมอง
EN BLOC RESECTION,สาขา:ลำไส้ใหญ่และทวารหนัก
EN-BLOC RESECTION,สาขา:ตับ/ตับอ่อน/ทางเดินน้ำดี
ENBLOC RESECTION GASTRIC GIST + FEEDING JEJUNOSTOMY,สาขา:ศัลยกรรมทั่วไป
ENBLOC TUMOR RESECTION,สาขา:ศัลยกรรมทั่วไป
"ENDOSCOPE , SPINE CLASSIC , C ARM , DRILL 3 MM",Spine
ENDOSCOPE NAVIGATE GLUE DURAเทียม,สาขา:ประสาทและสมอง
ENDOSCOPIC ADENOIDECTOMY,ENT
"ENDOSCOPIC ADENOIDECTOMY WITH COBLATOR, RF IT",ENT
ENDOSCOPIC BILAT DCR,สาขา:หู คอ จมูก
"ENDOSCOPIC BILATERAL MSTECOMY, SLNB WITH IMPLANT RECONSTRUCTION",Breast
ENDOSCOPIC BX RT NASAL,สาขา:หู คอ จมูก
ENDOSCOPIC DCR,สาขา:หู คอ จมูก
ENDOSCOPIC DECOMPRESSION T11,สาขา:ประสาทและสมอง
ENDOSCOPIC DISCECTOMY L5-S1,Spine
ENDOSCOPIC ENDONASAL APPROACH C TUMOR REMOVAL+ BIFRONTAL CRANIOTOMY C TUMOR REMOVAL C OPTIC DECOMPRESSION C ANT.BASE OF SKULL RECONSTRUCTION,Neuro_cranial
ENDOSCOPIC ENDONASAL TRANSSPHENOID APPROACH WITH TUMOR REMOVAL,สาขา:ประสาทและสมอง
ENDOSCOPIC EXCISION LA,Skin_softtissue
ENDOSCOPIC FAT PLUG MYRINGOPLASTY,ENT
ENDOSCOPIC INFERIOR TURBINOPLASTY,ENT
ENDOSCOPIC LEFT MASTECTOMY(NSM) WITH SLNB WITH IMPLANT RECONSTRUCTION + RT.BREAST MASS EXCISION (R1),Breast
"ENDOSCOPIC LEFT MASTECTOMY, SLNB WITH IMPLANT RECONSTRUCTION",Breast
ENDOSCOPIC LT NASAL BIOPSY+FROZEN SECTION,Skin_softtissue
ENDOSCOPIC LT T-PLASTY (LA),สาขา:หู คอ จมูก
ENDOSCOPIC LT TUMOR REMOVAL,สาขา:หู คอ จมูก
ENDOSCOPIC MEDIAL MAXILLECTOMY,สาขา:หู คอ จมูก
ENDOSCOPIC MEDIAL WALL /FLOOR ORBITAL DECOMPRESSION WITH NAVIGATOR,สาขา:หู คอ จมูก
ENDOSCOPIC MEDIAL WALL/ FLOOR ORBITAL DECOMPRESSION,สาขา:หู คอ จมูก
ENDOSCOPIC POLYPECTOMY,สาขา:หู คอ จมูก
ENDOSCOPIC POLYPECTOMY OF LARGE INTESTINE,สาขา:ลำไส้ใหญ่และทวารหนัก
ENDOSCOPIC POLYPECTOMY WITH MICRODEBRIDER,Skin_softtissue
ENDOSCOPIC REVISION NASOLACRIMAL DUCT PASSAGE,สาขา:หู คอ จมูก
ENDOSCOPIC RIGHT MASTECTOMY WITH IMPLANT RECONSTRUCTION,Breast
ENDOSCOPIC RT SPA LIGATION,สาขา:หู คอ จมูก
ENDOSCOPIC SEPTOPLASTY,ENT
ENDOSCOPIC SEPTOPLASTY + RF IT,ENT
ENDOSCOPIC SEPTOPLASTY AND INFERIOR TURBINOPLASTY,ENT
ENDOSCOPIC SEPTOPLASTY WITH BILAT FESS WITH MICRODEBRIDER,ENT
ENDOSCOPIC SEPTOPLASTY WITH INFERIOR TURBINAPLASTY,ENT
ENDOSCOPIC SEPTOPLASTY WITH INFERIOR TURBINOPLASTY,ENT
ENDOSCOPIC SEPTOPLASTY WITH INFERIOR TURBINOPLASTY WITH MICRODEBRIDER,ENT
ENDOSCOPIC SEPTOPLASTY WITH INFERIOR TURBINOPLASY,ENT
ENDOSCOPIC SEPTOPLASTY WITH INFERIOR TURBINOPLSTY,ENT
ENDOSCOPIC SEPTOPLASTY WITH RF IT,ENT
ENDOSCOPIC SEPTOPLASTY WITH TURBINOPLASTY,ENT
ENDOSCOPIC SEPTOPLASY WITH POWER TURBINOPLASTY,ENT
ENDOSCOPIC SEPTOTURBINOPLASTY,ENT
ENDOSCOPIC SEPTOTURBINOPLASTY + ADENOIDECTOMY,ENT
ENDOSCOPIC SEPTOTURBINOPLASTY+ NP MASS REMOVAL,ENT
ENDOSCOPIC SPA LIGATION,สาขา:หู คอ จมูก
ENDOSCOPIC SURGERY WITH TUMOR REMOVAL,สาขา:ประสาทและสมอง
ENDOSCOPIC T-PLASTY LT (LA),สาขา:หู คอ จมูก
ENDOSCOPIC TRANSPHENOID,สาขา:ประสาทและสมอง
ENDOSCOPIC TRANSPHENOID C REMOVE TUMOR,สาขา:ประสาทและสมอง
ENDOSCOPIC TUMOR DECOMPRESSION+ NAVIGATOR,สาขา:หู คอ จมูก
ENDOSCOPIC TUMOR REMOVAL,สาขา:หู คอ จมูก
ENDOSCOPIC TUMOR REMOVAL C COBATOR C BIOPSY,Skin_softtissue
ENDOSCOPIC TUMOR REMOVAL NAVIGATOE MICRODEBRIDER COBLATOR,Skin_softtissue
ENDOSCOPIC TUMOR REMOVAL WITH COBLATOR,สาขา:หู คอ จมูก
"ENDOSCOPIC TUMOR REMOVAL WITH MICRODEBRIDER, COBLATOR",Skin_softtissue
ENDOSCOPIC TUMOR REMOVAL WITH NAVIGATOR,สาขา:หู คอ จมูก
ENDOSCOPIC TUMOR REMOVAL+ NAVIGATOR,สาขา:หู คอ จมูก
ENDOSCOPIC TUMOR REMOVAL+-SEPTOPLASTY,ENT
ENDOSCOPIC TUMOR REMOVEAL + NAVIGATOR,สาขา:หู คอ จมูก
ENDOSCOPIC TURBINOPLASTY,ENT
ENDOSCOPIC TYMPANOPLASTY,ENT
ENDOSCOPIC WIDE EXCISION OF LEFT BREAST + SLNB,Breast
ENDOTRACHEAL TUBE INTUBATION +/- TRACHEOSTOMY,Tracheostomy
ERCP,Endoscopy_GI
ERCP + LC,Endoscopy_GI
ERCP + REMOVE PLASTIC STENT + LC,Endoscopy_GI
ERCP + STENT,Endoscopy_GI
ERCP +REMOVE PS,Endoscopy_GI
ERCP C LC,Endoscopy_GI
"ERCP C SPHINCTEROTOMY C BALLOON STONE EXTRACTION C +/- BD, PD STENT",Endoscopy_GI
ERCP REMOVE STENT + LC,Endoscopy_GI
ERCP WITH REMOVE STENT WITH EST + LC,Endoscopy_GI
ERCP WITH STENT +/- SPHINCTEROTOMY,Endoscopy_GI
ERPC,สาขา:ศัลยกรรมทั่วไป
ESCHARECTOMY WITH STSG,สาขา:ตกแต่ง
ESOPHAGOSCOPY WITH REMOVE FB,สาขา:หู คอ จมูก
ESS,สาขา:หู คอ จมูก
ESS (GA),สาขา:หู คอ จมูก
ESS C MICRODEBRIDER,Skin_softtissue
EUA,สาขา:ลำไส้ใหญ่และทวารหนัก
EUA WITH EC,สาขา:ลำไส้ใหญ่และทวารหนัก
EUA+INTERSPHINCTERIC DRAINANGE,สาขา:ศัลยกรรมทั่วไป
EVALUATE STSG + DRESSING WOUND,Skin_softtissue
EVAR,Vascular_interv
EVAR + RT.IIA EMBOLIZATION,Vascular_interv
EVAR + TEVAR,Vascular_interv
"EVAR +,- HELIFIX",Vascular_interv
EVAR USING BIFURCATED GRAFT,Vascular_interv
EVAR WITH RIGHT IIA EMBOLIZATION,Vascular_interv
EVAR+IBD,Vascular_interv
EVD,Neuro_cranial
EXCHANGE LEFT URETEROTOMY TUBE,Cystoscopy_URO
EXCHANGE LT DJ STENT,Vascular_interv
"EXCHANGE TCC RT IJV , CENTROS",Central_line
EXCHANGE TISSUE EXPANDER,สาขา:ศัลยกรรมทั่วไป
EXCISION,Skin_softtissue
EXCISION & SUTURE,Skin_softtissue
EXCISION (GA),Skin_softtissue
EXCISION (L8),Skin_softtissue
EXCISION (LA),Skin_softtissue
EXCISION (OPTIME1HR),Skin_softtissue
EXCISION *4 POINT,Skin_softtissue
EXCISION + CHANGE SHILEY TUBE,Skin_softtissue
EXCISION + CIRCUMCISION,Uro_other
EXCISION + FISTULOTOMY,Vascular_access
EXCISION + LIS,Anorectal
EXCISION + STSG,Skin_softtissue
EXCISION +- POSTAURICULAR SKIN GRAFT,Skin_softtissue
EXCISION +/- SCROTAL FLAP,Uro_other
EXCISION +/- STSG,Skin_softtissue
EXCISION / I&D,Skin_softtissue
EXCISION ABDOMINALL WALL,Skin_softtissue
EXCISION AND CAUTRIZATION,Skin_softtissue
EXCISION AND EC,Skin_softtissue
EXCISION AND RELEASE SCAR,Skin_softtissue
EXCISION AT LIP,Skin_softtissue
EXCISION AT NECK,Skin_softtissue
EXCISION AT R1,Skin_softtissue
EXCISION AT R3,Skin_softtissue
EXCISION AT RIGHT ARM(OPTIME 1.5HR),Skin_softtissue
EXCISION AT UPPER LIP,Skin_softtissue
EXCISION BILATERAL BREAST MASS,Breast
EXCISION BIOPSY,Skin_softtissue
EXCISION BOTH AXILLAS,Skin_softtissue
EXCISION BOTH SIDE,Skin_softtissue
EXCISION BREAST MASS,Breast
EXCISION BREAST MASS +/- VABB UNDER LA,Breast
"EXCISION BREAST MASS : (R8,R9) , (L2,L3,L7,L8)",Breast
"EXCISION BREAST MASS AT R9 , L8",Breast
EXCISION BREAST MASS LT,Breast
EXCISION BREAST MASS RT,Breast
EXCISION BX.,Skin_softtissue
EXCISION C RECONSTRUCTION,Skin_softtissue
EXCISION CYST,Skin_softtissue
EXCISION CYST AT BILATERAL BUTTOCK,Skin_softtissue
EXCISION CYST C LYSIS ADHESION,Skin_softtissue
EXCISION DUCT LT BREAST,Breast
EXCISION EC,Skin_softtissue
EXCISION EIDIDYMAL MASS +/- EPIDIDYMECTOMY RT,Skin_softtissue
EXCISION FISTULA TRACT+- SMALL BOWEL REPAIR,Vascular_access
EXCISION L8,Skin_softtissue
EXCISION LEFT BREAST MASS,Breast
EXCISION LESION,Skin_softtissue
EXCISION LESION L12,Skin_softtissue
EXCISION LESION L2,Skin_softtissue
"EXCISION LESION R1, L5, R12 + NLE LT. BREAST",Breast
EXCISION LIPOMA,Skin_softtissue
EXCISION LIPOMA AT BACK,Skin_softtissue
EXCISION LIPOMA WITH UNTETHERING SPINAL CORD,Skin_softtissue
EXCISION LT BREAST,Breast
EXCISION LT BREAST MASS,Breast
EXCISION LT BREAST MASS WITH INTRAOP US,Breast
EXCISION LT BREAST MASS [LUQ],Breast
EXCISION LT MASS WITH INTRAOPUS,Skin_softtissue
EXCISION LT. BREAST,Breast
EXCISION LT. BREAST MASS,Breast
EXCISION LT. BREAST MASS(L4),Breast
EXCISION LT. SHOULDER,Skin_softtissue
EXCISION LT.BREAST MASS,Breast
EXCISION MASS,Skin_softtissue
EXCISION MASS AT BACK AND LT FOREARM,Skin_softtissue
EXCISION MASS AT LEFT FOREARM UNDER BRACHIAL BLOCK/ GA,Skin_softtissue
EXCISION MASS AT LT THIGH AND RT EAR,ENT
EXCISION MASS AT LT. PART OF NECK,Skin_softtissue
EXCISION MASS AT NECK,Skin_softtissue
EXCISION MASS AT PENIA C CIRCUMCISION,Uro_other
EXCISION MASS AT PINNA,Skin_softtissue
EXCISION MASS AT POTERIOR NECK,Skin_softtissue
"EXCISION MASS AT R12,L4,L9,+-R9",Skin_softtissue
EXCISION MASS AT RT. NECK,Skin_softtissue
EXCISION MASS AT RT. SIDE OF BACK,Skin_softtissue
"EXCISION MASS BILAT ( R9,R10,L2,L9,L10)",Skin_softtissue
EXCISION MASS L8-9,Skin_softtissue
EXCISION MASS LOWER LIP,Skin_softtissue
EXCISION MASS LT. HAND UNDER MICROSCOPE,Skin_softtissue
EXCISION MUCOCELE,Skin_softtissue
EXCISION NECK MASS,Skin_softtissue
EXCISION OF AXILLARY LYMPH NODE,Skin_softtissue
EXCISION OF BREAST MASS,Breast
EXCISION OF DEEP CERVICAL LYMPH NODE,Thyroid_neck
EXCISION OF DEEP CERVICAL LYMPH NODE LT.,Thyroid_neck
EXCISION OF HEMORRHOIDS,Anorectal
EXCISION OF HEMORRHOIDS (LIGASURE) POST-OP ADMIT,Anorectal
EXCISION OF HYDROCELE (OF TUNICA VAGINALIS),Uro_other
EXCISION OF LEFT BREAST,Breast
EXCISION OF LEFT BREAST MASS,Breast
EXCISION OF LESION OF MAXILLARY SINUS WITH OTHER APPROACH,ENT
EXCISION OF LESION OF OTHER SOFT TISSUE,Skin_softtissue
"EXCISION OF LESION OF OTHER SOFT TISSUE,",Skin_softtissue
EXCISION OF LESION OF SALIVARY GLAND,ENT
EXCISION OF LESION OR TISSUE OF OTHER BONE,Skin_softtissue
EXCISION OF NIPPLE BOTH BREAST,Breast
EXCISION OF OTHER PARTS OF MOUTH,Skin_softtissue
EXCISION OF PREAURICULAR SINUS,ENT
EXCISION OF RIGHT AXILLARY BREAST,Breast
EXCISION OF RIGHT BREAST MASS,Breast
EXCISION OF RIGHT BREAST MASS (BILATERAL MAMMOREDUCTION),Breast
EXCISION OF RIGHT BREAST MASS WITH INTRAOP FROZEN SECTION THEN MASTECTOMY WITH SLNB,Breast
EXCISION OF SALIVALY GLAND,Skin_softtissue
"EXCISION OR DESTRUCTION OF BREAST TISSUE, NOT OTHERWISE SPECIFIED",Breast
EXCISION OR DESTRUCTION OF LESION OF EXTERNAL EAR,ENT
EXCISION OR DESTRUCTION OF LESION OR TISSUE OF TONGUE,Skin_softtissue
EXCISION PARAFFINAOM นอกเวลา,Skin_softtissue
EXCISION PARAFFINOMA,Skin_softtissue
EXCISION PARAFIN,Skin_softtissue
EXCISION PARAFINAMOA,Skin_softtissue
EXCISION PENILE MASS,Uro_other
EXCISION PTH AT LT FOREARM,Skin_softtissue
EXCISION R1,Skin_softtissue
EXCISION R6-7,Skin_softtissue
EXCISION RECTAL POLYP + RECTAL EXAMINATION,Skin_softtissue
EXCISION RIGHT BREAST MASS,Breast
EXCISION RIGHT SCROTAL MASS,Uro_other
EXCISION RT BREAST MASS,Breast
EXCISION RT BREAST MASS UNDER WIRE LOCALIZATION,Breast
EXCISION RT BREATS MASS,Skin_softtissue
EXCISION RT MASS,Skin_softtissue
EXCISION RT PARATESTICULAR CYST,Skin_softtissue
EXCISION RT. BREAST MASS,Breast
EXCISION RT. BREAST MASS R11,Breast
EXCISION RT.BREAST MASS R10,Breast
EXCISION SKIN UNDER GA,Skin_softtissue
EXCISION SKULL LESION,Skin_softtissue
EXCISION TONGUE MASS,Skin_softtissue
EXCISION UNDER BB,Skin_softtissue
EXCISION UNDER GA,Skin_softtissue
EXCISION UNDER LA,Skin_softtissue
EXCISION UNDER MICROSCOPE,Skin_softtissue
EXCISION UNDER WIRE LOCALIZATION,Skin_softtissue
EXCISION UNDERT GA,Skin_softtissue
EXCISION URACHUS,Skin_softtissue
EXCISION WITH BOWEL REPAIR,GI_abdominal
EXCISION WITH NEEDLE LOCALIZATION LT BREAST,Breast
EXCISION WITH SECONDARY HEALING +/- STRICTUROPLASTY,GI_abdominal
EXCISION WOUND RIGHT THIGH,Skin_softtissue
"EXCISION, DEBRIDEMENT",Skin_softtissue
"EXCISION, EC",Skin_softtissue
"EXCISION, EXPLORED WOUND",Skin_softtissue
EXCISIONAL +- INCISIONAL BIOPSY AT RT SHOULDER,Skin_softtissue
EXCISIONAL BIOPSY,Skin_softtissue
EXCISIONAL BIOPSY (LA),Skin_softtissue
EXCISIONAL BIOPSY CHRONIC WOUND LT LEG,Skin_softtissue
EXCISIONAL BIOPSY LN UNDER SB/TIVA,Skin_softtissue
EXCISIONAL BIOPSY LT. SUPRACLAVICULAR LN UNDER LA,Skin_softtissue
EXCISIONAL BIOPSY UNDER GA,Skin_softtissue
EXCISIONAL BIOPSY UNDER SA,Skin_softtissue
EXCISIONAL BIOPSY X 2 SITE,Skin_softtissue
EXCISIONAL BX,Skin_softtissue
