procedure,proc_group
ACDF C4-5-6-7 C PEEK PLATE,Spine
ACDF C4-5-6-7 LEVEL WITH PEEK PLATE,Spine
ACDF C4-5-6-7 PEEK AND PLATE,Spine
ACDF C4-5-6-7 PEEK PLATE,Spine
ACDF C4-6,Spine
ACDF C4-6 PEEK PLATE,Spine
ACDF C4-7 DIVA,Spine
ACDF C4-7 PEEK PLATE,Spine
ACDF C4/5,Spine
ACDF C4/5 C5/6,Spine
"ACDF C4/5, C5/6",Spine
ACDF C456,Spine
ACDF C456 PEEK PLATE,Spine
ACDF C456 WITH PEEK PLATE,Spine
ACDF C4567 PEEK PLATE,Spine
ACDF C5-6,Spine
ACDF C5-6 (REDO),Spine
ACDF C5-6 C PEEK PLATE,Spine
ACDF C5-6 C6-7,Spine
ACDF C5-6 DIVA,Spine
ACDF C5-6 PEAK PLATE,Spine
ACDF C5-6 PEEK PLATE,Spine
ACDF C5-6 PEEL PLATE,Spine
ACDF C5-6 WITH ANTERIOR PLATE-SCREW FIXATION,Spine
ACDF C5-6 WITH PEEK PLATE,Spine
ACDF C5-6 WITH PEEK PLATE AND SCREW FIXATION,Spine
ACDF C5-6-7 WITH PEEK PLATE,Spine
ACDF C5-7 DIVA,Spine
"ACDF C5-7,C6-7 WITH ANTERIOR PLATE-SCREW FIXATION",Spine
ACDF C5/6,Spine
ACDF C5/6 C6/7 PEEL PLATE,Spine
ACDF C5/6 DIVA,Spine
ACDF C5/6 PEEK PLATE,Spine
"ACDF C5/6,C6/7",Spine
ACDF C56 WITH ANTERIOR PLATE AND SCREW FIXATION,Spine
ACDF C567 PEEK PLATE,Spine
ACDF C567 PEEK PLATE C567,Spine
ACDF C567 PLATE ALLOGRAFT,Spine
ACDF C568 PEEK PLATE,Spine
ACDF C6-7,Spine
ACDF C6-7 (DIVA),Spine
ACDF C6-7 C ANTERIOR PLATE SCREW FIXATION,Spine
ACDF C6-7 C LAMINECTOMY C7-T1,Spine
ACDF C6-7 PEEK PLATE,Spine
ACDF C6-7 RT.,Spine
ACDF C6-7 WITH ANTERIOR PLATE AND SCREW FIXATION,Spine
ACDF C6/7 PEEK PLATE,Spine
ACDF SCREW FIXATION CERVICAL SPINE,Spine
ACDF WITH PEEK AND PLATE SCREW C5-6-7,Spine
ACDF WITH PLATE SCREW C4-5-6,Spine
ADENOIDECTOMY UNDER COBLATOR (NASAL ENDOSCOPIC) + RF NOSE (GA),ENT
ADENOTONSILLECTOMY,ENT
ADVANCEMENT FLAP,Skin_softtissue
AFV LT CUBITAL,สาขา:หลอดเลือด
AFV LT WRIST,สาขา:หลอดเลือด
AGGRESSIVE DEBRIDEMENT UNDER GA,Skin_softtissue
AKA OF RIGHT LEG,สาขา:ศัลยกรรมทั่วไป
ALTEMEIER,สาขา:ลำไส้ใหญ่และทวารหนัก
ALTEMEIER OPERATION,สาขา:ศัลยกรรมทั่วไป
ALTEMEIER'S OPERATION,สาขา:ลำไส้ใหญ่และทวารหนัก
ALTEMIERE WITH LEVATOPLASTY,สาขา:ลำไส้ใหญ่และทวารหนัก
ALTIMEIER'S OPERATION,สาขา:ลำไส้ใหญ่และทวารหนัก
ALTIMEIER'S OPERTION,สาขา:ลำไส้ใหญ่และทวารหนัก
ALTIMIER OPERATION,สาขา:ลำไส้ใหญ่และทวารหนัก
AMPUTATE RT 4TH-5TH TOE,สาขา:ตกแต่ง
AMPUTATION,สาขา:ตกแต่ง
AMPUTATION 2ND TOE LT.+ RAY AMPUTATION 5TH TOE LT.+DEBRIDEMENT LT. BIG TOE AND LT. HEEL,Skin_softtissue
AMPUTATION 2ND TOE RT FOOT WITH DEBRIDEMENT,Skin_softtissue
"AMPUTATION 2ND,4TH TOE RT. FOOT",สาขา:ศัลยกรรมทั่วไป
AMPUTATION 4TH FINGER,สาขา:ศัลยกรรมทั่วไป
AMPUTATION LEFT BIG TOE,สาขา:ศัลยกรรมทั่วไป
AMPUTATION LT THUMB,สาขา:หลอดเลือด
AMPUTATION LT TOE (OP TIME 1 HR),สาขา:ศัลยกรรมทั่วไป
AMPUTATION LT.INDEX FINGER,สาขา:ตกแต่ง
AMPUTATION OF ASSESORY FINGER,สาขา:ตกแต่ง
AMPUTATION OF RT.BIG TOE,สาขา:หลอดเลือด
