variant,canonical
CA DESCENDING COLON S P TOTAL COLECTOMY C SUSPICIOUS NET AT RECTUM,CA DESCENDING COLON S P TOTAL COLECTOMY C SUSPICIOUS NET AT RECTUM
RUPTURE SIGMOID DIVERTICULITIS,RUPTURE SIGMOID DIVERTICULITIS
CHRONIC DIARRHEA,CHRONIC DIARRHEA
BOWEL HABIT CHANGE WEIGHT LOSS,BOWEL HABBIT CHANGE WT LOSS
CHRONIC ANAL FISSURE WITH BOWEL HABIT CHANGE,CHRONIC ANAL FISSURE WITH BOWEL HABIT CHANGE
RECURRENT CA CERVIX RV FISTULAR,RECURRENT CA CERVIX RV FISTULAR
ASCENDING COLON CANCER WITH PORCELAIN GB,ASCENDING COLON CANCER WITH PORCELAIN GB
RT RCC WITH ADRENAL METASTASIS,RT RCC WITH ADRENAL METASTASIS
HIGH PSA 56 4,HIGH PSA 56 4
RADIATION CYSTITIS,RADIATION CYSTITIS
CHRONIC CHOLECYSTITS,CHRONIC CHOLECYSTITIS
MASS AT RT LPW,MASS AT RT LPW
PROLONG INTUBATION WITH R O LAYRNGEAL MASS,PROLONG INTUBATION WITH R O LAYRNGEAL MASS
GIANT CONDYLOMA AT BUTTOCK,GIANT CONDYLOMA AT BUTTOCK
PRESSURE SORE AT BOTTOCK,PRESSURE SORE AT BOTTOCK
RT DIABETIC FOOT,RT DIABETIC FOOT
HIGH PSA WITH PIRADS 4,HIGH PSA WITH PIRADS 4
PHIMOSIS POSTHITIS,PHIMOSIS POSTHITIS
BPH C BLADDER OUTLET OBSTRUCTION C REFRACTORY AUR R O CA PROSTATE,BPH C BLADDER OUTLET OBSTRUCTION C REFRACTORY AUR R O CA PROSTATE
CA BLADDER S P LT URETEROSTOMY UTI,CA BLADDER S P LT URETEROSTOMY UTI
URINARY RETENTION S P OPENED CYSTOSTOMY,URINARY RETENTION S P OPENED CYSTOSTOMY
ERECTILE DYSFUNCTION,ERECTILE DYSFUNCTION
HIGH PSA 12 6,HIGH PSA 12 6
URERTHRAL STRICTURE,URETHRAL STRICTURE
HIGH PSA 10 2,HIGH PSA 10 2
L4 S1 SPONDYLOSIS WITH HNP,L4 S1 SPONDYLOSIS WITH HNP
PROLONGED INTUBATION C POST COVID PNEUMONIA CT>30 SINCE 21 6 64,PROLONGED INTUBATION C POST COVID PNEUMONIA CT>30 SINCE 21 6 64
ACUTE SINUSITIS WITH ORBITAL COMPLICATION,ACUTE SINUSITIS WITH ORBITAL COMPLICATION
MALFUNCTION TCC RT FV,MALFUNCTION TCC RT IJV
PNEMONIA WITH PARAPNEUMONIC EFFUSION,PNEMONIA WITH PARAPNEUMONIC EFFUSION
THYMOMA,THYMOMA
IPMN AT UNCINATE PROCESS,IPMN AT UNCINATE PROCESS
SURVELLIANCE COLONOSCOPY,SURVELLIANCE COLONOSCOPY
ASCENDING COLITIS,ASCENDING COLITIS
COMPLICATED UTI C PROSTATE NODULE,COMPLICATED UTI C PROSTATE NODULE
LT ADRENAL MASS,LEFT ADRENAL MASS
CA SIGMOID WITH MULTIPLE POLYPOSIS S P LAP TC ABNORMAL CEA RISING,CA SIGMOID WITH MULTIPLE POLYPOSIS S P LAP TC ABNORMAL CEA RISING
RADIATION PROCTITIS,RADIATION PROCTITIS
CA SIGMIOD WITH LIVER METASTAIS,CA SIGMOID WITH LIVER METASTASIS
CA RECTOSIGMOID LIVER NODULE AT S6,CA RECTOSIGMOID LIVER NODULE AT S6
CA RECTUM S P DLC,CA RECTUM S P LAR
LGIB BOWEL HABIT CHANGE WEIGHTLOSS,LGIB BOWEL HABIT CHANGE WEIGHTLOSS
PROLAPSED HEMORRHOID,PROLAPSED HEMORRHOID
RECURRENT COLONIC CANCER,RECURRENT COLONIC CANCER
TCC RT IJV LEAKAGE,TCC RT IJV LEAKAGE
AVBG WITH OUTFLOW STENOSIS,AVBG WITH OUTFLOW STENOSIS
RT MID UC WITH MODERATE HYDRONEPHROSIS IMPAIRED RENAL FUNCTION,RT MID UC WITH MODERATE HYDRONEPHROSIS IMPAIRED RENAL FUNCTION
BPH WITH REFRACTORY URINARY RETENTION,BPH WITH REFRACTORY URINARY RETENTION
HIGH PSA 12 17,HIGH PSA 12 6
CHRONIC CYSTITIS,CHRONIC CYSTITIS
URETHRITIS WITH MEALTAL ULCER,URETHRITIS WITH MEALTAL ULCER
CAP C HEMATURIA,CAP C HEMATURIA
RT RCC,RT RC
C5 6 SPONDYLOSIS WITH RADICULOPATHY,C5 6 SPONDYLOSIS WITH RADICULOPATHY
L4 S1 SPONDYLOSIS WITH NERVE ROOT COMPRESSION,L4 S1 SPONDYLOSIS WITH NERVE ROOT COMPRESSION
L2 3 ADJACENT LEVEL DEGENERATION WITH CAUDA EQUINA SYNDROME,L2 3 ADJACENT LEVEL DEGENERATION WITH CAUDA EQUINA SYNDROME
SKULL TUMOR,SKULL TUMOR
TRAUMATIC C SPINE INJURY C CORD COMPRESSION,TRAUMATIC C SPINE INJURY C CORD COMPRESSION
BED SORE,BED SORE
RT SIDE DIVERTICULOSIS,RT SIDE DIVERTICULOSIS
LGIH WITH CAF WITH HEMORRHOID,LGIH WITH CAF WITH HEMORRHOID
DYSPHAGIA WEIGHT LOSS,DYSPHAGIA WEIGHT LOSS
LLQ BOWEL HABIT CHANGE,BOWEL HABIT CHANGE
FUNCTIONAL DYSPEPSIA,FUNCTIONAL DYSPEPSIA
LARGE RIGHT THYROID NODULE EETHESDA 1,LARGE RIGHT THYROID NODULE EETHESDA 1
CORROSIVE INGESTION 3B,CORROSIVE INGESTION 3B
RIGHT SIDE COLON WALL THICKENING,RIGHT SIDE COLON WALL THICKENING
INFECTED WOUND RT LATERAL MALLEOLUS,INFECTED WOUND RT LATERAL MALLEOLUS
NF LEFT FOOT,NF LT FOOT
PERITONEAL ADHESION WITH MYOMA UTERI,PERITONEAL ADHESION WITH MYOMA UTERI
DISCORDANT LEFT BREAST MASS,DISCORDANT LEFT BREAST MASS
ADHESIVE SMALL BOWEL DISEASE,ADHESIVE SMALL BOWEL DISEASE
CA ASCENDING COLON S P SX CMT,CA ASCENDING COLON S P SX CMT
CA SIGMOID GALL STONES BPH WITH HIGH PSA,CA SIGMOID GALL STONES BPH WITH HIGH PSA
CBD STONE S P ERCP 5 11 64,CBD STONE S P ERCP 5 11 64
PROLONG TRACHEOSTOMY,PROLONG TRACHEOSTOMY
UMBILICAL HERNIA BMI46,UMBILICAL HERNIA BMI46
R O LIPOSARCROMA AT LT SIDED BACK,R O LIPOSARCROMA AT LT SIDED BACK
RHABDOMYOSARCOMA AT RIGHT PSOAS MUSCLE,RHABDOMYOSARCOMA AT RIGHT PSOAS MUSCLE
CHOLANGITIS WITH CBD STONE,CHOLANGITIS WITH CBD STONE
FOLLICULAR NEOPLASM OF RT THYROID,FOLLICULAR NEOPLASM OF RT THYROID
LT THYROID MASS WITH COMPRESSIVE SYMPTOM,LT THYROID MASS WITH COMPRESSIVE SYMPTOM
SYMPTOMATIC GB POLYPS,SYMPTOMATIC GB POLYP
LT PANTALOON HERNIA,LT PANTALOON HERNIA
THROMBOSE AVBG LT FOREARM EXTENDED TO CEPHALIC V LT UPPER ARM,THROMBOSE AVBG LT FOREARM EXTENDED TO CEPHALIC V LT UPPER ARM
GALLSTONE PANCREATITIS S P ERCP 27 7 64,GALLSTONE PANCREATITIS S P ERCP
ADENOMYOMATOSIS DDX CANCER,ADENOMYOMATOSIS DDX CANCER
CA GALL BLADDER WITH ADRENAL ICIDENTALOMA,CA GALL BLADDER WITH ADRENAL ICIDENTALOMA
MULTIPLE RT THYROID NODULE AUS,MULTIPLE RT THYROID NODULE AUS
NEOPLASM THYROID NODULE RT AUS,NEOPLASM THYROID NODULE RT AUS
CA HEPATIC FLEXURE C LIVER METASTASIS,CA HEPATIC FLEXURE C LIVER METASTASIS
HILAR CHOLANGIOCA TYPEI,HILAR CHOLANGIOCA TYPEI
BILATERAL DIH,BILATERAL IIH
S P ERCP WITH STENTING,S P ERCP WITH STENTING
LEFT SDH C MIDLINE SHIFT,LEFT SDH C MIDLINE SHIFT
C345 INJURY,C345 INJURY
SPINAL METASTASIS L1 2,SPINAL METASTASIS L1 2
L5 S1 SPONDYLOSIS C RADICULOPATHY,L5 S1 SPONDYLOSIS C RADICULOPATHY
THYROID NODULE BOTH LOBES RT INGUINAL HERNIA,THYROID NODULE BOTH LOBES RT INGUINAL HERNIA
INCARCERATED UMBILLICAL HERNIA WITH SBO,INCARCERATED UMBILLICAL HERNIA WITH SBO
LARGE GS WITH CHRONIC CHOLECYSTITIS,LARGE GS WITH CHRONIC CHOLECYSTITIS
THYROID NODULE BOTHLOBES,THYROID NODULE BOTH LOBES
ADVANCE STAGE LEIOMYOSARCOMA,ADVANCE STAGE LEIOMYOSARCOMA
NIPPLE DISCHARGE,NIPPLE DISCHARGE
ABD WALL HERNIA,ABD WALL HERNIA
GS WITH CBD STONE,GS WITH CBD STONE
OBSTRUCTIVE JAUNDICE,OBSTRUCTIVE JAUNDICE
ESRD C LEFT CEPHALIC VEIN STENOSIS,ESRD C LEFT CEPHALIC VEIN STENOSIS
LEFT THYROID NODULE ISTHMUS,LEFT THYROID NODULE ISTHMUS
LARGE RIGHT THYROID NODULE,LARGE RT THYROID NODULE
GALLSTONE PANCREATITIS GASTRITIS,GALLSTONE PANCREATITIS GASTRITIS
PERITONEAL THICKENING,PERITONEAL THICKENING
PROLONGED INTUBATION C LARYNGEAL MASS,PROLONGED INTUBATION C LARYNGEAL MASS
OTHER AND UNSPECIFIED LESIONS OF ORAL MUCOSA,OTHER AND UNSPECIFIED LESIONS OF ORAL MUCOSA
MALIGNANT NEOPLASM OF PYRIFORM SINUS,MALIGNANT NEOPLASM OF PYRIFORM SINUS
FACIAL NERVE INJURY RT,FACIAL NERVE INJURY RT
BEDSORE AT BUTTOCK,BEDSORE AT BUTTOCK
MALIGNANT MELANOMA LEFT HEEL,MALIGNANT MELANOMA LEFT HEEL
R O THYROID CANCER WITH RIGHT NECK LN METASTASIS,R O THYROID CANCER WITH RIGHT NECK LN METASTASIS
ANAL ABCESS,ANAL ABCESS
CA RECTUM C OBSTRUCTION S P LOOP SIGMOID COLOSTOMY,CA RECTUM C OBSTRUCTION S P LOOP SIGMOID COLOSTOMY
HX : APPENDICEAL ABSCESS C KT WAITLIST,HX : APPENDICEAL ABSCESS C KT WAITLIST
RUPTURE APPENDICITS S P EL EC FISTULAR,RUPTURE APPENDICITS S P EL EC FISTULAR
ULCERATIVE TONGUE MASS R O CA TONGUE,ULCERATIVE TONGUE MASS R O CA TONGUE
PROLONG INTUBATION WITH TRACHEAL INJURY,PROLONG INTUBATION WITH TRACHEAL INJURY
POSTCOVID PNEUMONIA C PROLONG INTUBATION C SGS,POSTCOVID PNEUMONIA C PROLONG INTUBATION C SGS
MALIGNANT NEOPLASM OF THYROID GLAND WITH ENLARGE NECK MASS,MALIGNANT NEOPLASM OF THYROID GLAND WITH ENLARGE NECK MASS
INTRAMEDULLARY CORD TUMOR,INTRAMEDULLARY CORD TUMOR
RIGHT FRONTAL LOBE MASS C RT MCA ANEURYSM,RIGHT FRONTAL LOBE MASS C RT MCA ANEURYSM
RT PICA ANEURYSM S P CRANIECTOMY C CLIPPING ANEURYSM,RT PICA ANEURYSM S P CRANIECTOMY C CLIPPING ANEURYSM
L4 S1 SPONDYLOSIS C RADICULOPATHY,L5 S1 SPONDYLOSIS C RADICULOPATHY
LEFT FRONTAL METASTATIC TUMOR,LEFT FRONTAL METASTATIC TUMOR
RT MCA INFARCTION C HYDROCEPHALUS C PROLONGED INTUBATION,RT MCA INFARCTION C HYDROCEPHALUS C PROLONGED INTUBATION
SPINAL STENOSIS,SPINAL STENOSIS
ACUTE SDH C SAH S P LT PARIETAL CRANICTOMY,ACUTE SDH C SAH S P LT PARIETAL CRANICTOMY
TRACHEOSTOMY DISPLACEMENT,TRACHEOSTOMY DISPLACEMENT
MASS AT TONGUE,MASS AT TONGUE
SPLENIC MASS,SPLENIC MASS
KELOID RT EAR,KELOID RT EAR
SCCA AT RT LPW,SCCA AT RT LPW
FB AT OROPHARYNX,FB AT OROPHARYNX
FAILED OR DIFFICULT INTUBATION PROLONG INTUBATION,FAILED OR DIFFICULT INTUBATION PROLONG INTUBATION
GS WITH CBD STONE S P ERCP WITH PLASTIC STENT INSERTION X2 ครั้ง,GS WITH CBD STONE S P ERCP WITH PLASTIC STENT INSERTION X2 ครั้ง
ABNORMAL CLACIFICATION OF RIGHT BREAST,ABNORMAL CALCIFICATION OF RIGHT BREAST
GIANT FIBROADENOMA OF LEFT BREAST,GIANT FIBROADENOMA OF LEFT BREAST
RT BREAST INVASIVE DUCTAL CARCINOMA,RT BREAST INVASIVE DUCTAL CARCINOMA
ADVANCE STAGE CA STOMACH PLAN LONG TERM TPN,ADVANCE STAGE CA STOMACH PLAN LONG TERM TPN
C5 7 RUPTURED DISC WITH MYELOPATHY,C5 7 RUPTURED DISC WITH MYELOPATHY
CA PYRIFORM WITH ESOPHAGEAL INFILTRATION,CA PYRIFORM WITH ESOPHAGEAL INFILTRATION
NF LT FOOT S P GUILLOTINE AMPUTATION,NF LT FOOT S P GUILLOTINE AMPUTATION
CA STOMACH S P TOTAL GASTRECTOMY CA HEPATIC FLEXURE S P RHC,CA STOMACH S P TOTAL GASTRECTOMY CA HEPATIC FLEXURE S P RHC
CLI S P AMPUTATION,CLI S P AMPUTATION
SEVERE DYSPEPSIA WITH BOWEL HABIT CHANGE,SEVERE DYSPEPSIA WITH BOWEL HABIT CHANGE
CELLULITIS RT LEG WITH INFECTED WOUND RT ANKLE,CELLULITIS RT LEG WITH INFECTED WOUND RT ANKLE
SURVEILLANCE GASTRIC GIST,SURVEILLANCE GASTRIC GIST
CONSTIPATION LGIB,CONSTIPATION LGIB
ECTROPION AT LEFT LOWER EYELID,ECTROPION AT LEFT LOWER EYELID
DM RT FOOT,DM RT FOOT
MALIGNANT MELANOMA LT HEEL S P WE C EXPOSED PART OF CALCANEOUS BONE,MALIGNANT MELANOMA LT HEEL S P WE C EXPOSED PART OF CALCANEOUS BONE
MASS AT RT FOOT,MASS AT RT FOOT
OFX 1ST LT MCP GUN SHOT WOUND,OFX 1ST LT MCP GUN SHOT WOUND
RECTAL CANCER S P APR,RECTAL CANCER S P APR
FAILURE CATHERIZATION,FAILURE CATHERIZATION
LT UVJ STONE WITH ORIFICE STRICTURE,LT UVJ STONE WITH ORIFICE STRICTURE
LEFT PHEOCHROMOCYTOMA,LEFT PHEOCHROMOCYTOMA
PERSISTENT MICROSCOPIC HEMATURIA,PERSISTENT MICROSCOPIC HEMATURIA
LT HYDRONEPHROSIS C AKI R O URETERAL STRICTURE,LT HYDRONEPHROSIS C AKI R O URETERAL STRICTURE
LT KIDNEY MASS,LT KIDNEY MASS
RT TONSIL MASS,RT TONSIL MASS
R O CA GLOTTIC,R O CA GLOTTIC
EXTERNAL HEMORRHOID C SKIN TAG,EXTERNAL HEMORRHOID C SKIN TAG
APPENDICEAL MASS LIVER MASS,APPENDICEAL MASS LIVER MASS
ANORECTAL INJURY,ANORECTAL INJURY
PROLAPSE COLOSTOMY,PROLAPSE COLOSTOMY
HEMORRHOID ACUTE ANAL FISSURE,HEMORRHOID ACUTE ANAL FISSURE
RIGTH INGUINAL HERNIA,RT INGUINAL HERNIA
VC BPH,VC BPH
BILATERAL UC RT ADRENAL MASS,BILATERAL UC RT ADRENAL MASS
RIGHT TESTIS MASS,RIGHT TESTIS MASS
BPH WITH RECURRENT CYSTITIS,BPH WITH RECURRENT CYSTITIS
SEVERE URETHRAL STRICTURE,SEVERE URETHRAL STRICTURE
HIGH PSA > HIGH GRADE PIN,HIGH PSA > HIGH GRADE PIN
BHC HX OF LGIB,BHC HX OF LGIB
LOCALLY ADVANCE CA SIGMOID WITH IMPENDING OBSTRUCTION,LOCALLY ADVANCE CA SIGMOID WITH IMPENDING OBSTRUCTION
CA COLON CONSTIPATION,CA COLON CONSTIPATION
LGIB WITH ANEMIC SYMPTOM,LGIB WITH ANEMIC SYMPTOM
LT PERM CATH DISLOCATION,LT PERM CATH DISLOCATION
ESRD WITH TCC AIR LEAK,ESRD WITH TCC AIR LEAK
ESRD AVF S P ANEURYSMECTOMY,ESRD AVF S P ANEURYSMECTOMY
GIANT AVF WITH SKIN NECROSIS,GIANT AVF WITH SKIN NECROSIS
CRITICAL LIMB ISCHAEMIA LT,CRITICAL LIMB ISCHAEMIA LT
ESRD WITH SV STENOSIS,ESRD WITH SV STENOSIS
TCC DISLODGEMENT,TCC DISLODGEMENT
INFLOW STENOSIS RT AVF,INFLOW STENOSIS RT AVF
MESENTERIC LYMPHADENITIS,MESENTERIC LYMPHADENITIS
CA RECTUM T1N0M0,CA RECTUM T1N0M0
SUBSIDE SIGMOID DIVERTICULITIS,SUBSIDE SIGMOID DIVERTICULITIS
LT SIDE DIVERTICULITIS,LT SIDE DIVERTICULITIS
R O CA ASCENDING COLON,R O CA ASCENDING COLON
CA SIGMOID WITH PLAN FOR CHEMOTHERAPY,CA SIGMOID WITH PLAN FOR CHEMOTHERAPY
HEMORROID ANAL POLYP,HEMORROID ANAL POLYP
CAF AND DORSAL SUBCUTICULAR FIA,CAF AND DORSAL SUBCUTICULAR FIA
REVISE AVBG LT UPPER ARM,REVISE AVBG LT UPPER ARM
INFRARENAL AAA WITH BILATERAL CIA ANEURYSM,INFRARENAL AAA WITH BILATERAL CIA ANEURYSM
INFRARENAL AAA WITH BILATERAL CIA ANEURYSM S P LT INTERNAL ILIAC A EMBOLIZATION,INFRARENAL AAA WITH BILATERAL CIA ANEURYSM S P LT INTERNAL ILIAC A EMBOLIZATION
DYSPEPSIA WITH WEIGHT LOSS,DYSPEPSIA WITH WEIGHT LOSS
RECTAL INJURY C INFECTED WOUND AT SCROTUM,RECTAL INJURY C INFECTED WOUND AT SCROTUM
LT PLANTAR ABSCESS WITH DRY GANGRENE AT BIG TOE,LT PLANTAR ABSCESS WITH DRY GANGRENE AT BIG TOE
HEPATIC FLEXURE TA F U POST POLYPECTOMY,HEPATIC FLEXURE TA F U POST POLYPECTOMY
LIPOMA 5 CM AT LEFT UPPER BACK,LIPOMA 5 CM AT LEFT UPPER BACK
SEVERE DYSPEPSIA WEIGHT LOSS,SEVERE DYSPEPSIA WEIGHT LOSS
LGIB WITH BOWEL HABIT CHANGE,LGIB WITH BOWEL HABIT CHANGE
GS WITH CONCOMITTANT CBD STONE S P ERCP,GS WITH CONCOMITTANT CBD STONE S P ERCP
HIDRADENITIS SUPPERATIVA,HIDRADENITIS SUPPERATIVA
INTERNAL HEOMORRHOID LGIB,INTERNAL HEOMORRHOID LGIB
RECTAL CANCER S P LAR WITH INCISIONAL HERNIA,RECTAL CANCER S P LAR WITH INCISIONAL HERNIA
SWING VEIN STENOSIS LT,SWING VEIN STENOSIS
AVF LT CUBITAL WITH OUTFLOW STENOSIS,AVF LT CUBITAL WITH OUTFLOW STENOSIS
CA LUNG LUL,CA LUNG LUL
SPONTANEOUS PNEUMOTHORAX LT,RT SPONTANEOUS PNEUMOTHORAX
DYSPEPSIA WITH SIGNIFICANT WEIGHT LOSS,DYSPHAGIA WITH SIGNIFICANT WEIGHT LOSS
GASTRIC SUBMUCOSAL LESION,GASTRIC SUBMUCOSAL LESION
GRAVE'S DISEASE,GRAVES' DISEASE
SCC ADENITIS AT CERVICAL AREA,SCC ADENITIS AT CERVICAL AREA
CA HEPATIC FLEXURE WITH MULTIPLE LIVER METASTASIS,CA HEPATIC FLEXURE WITH MULTIPLE LIVER METASTASIS
PANDIVERTICULOSIS,DIVERTICULOSIS
LARGE GASTRIC GIST,LARGE GASTRIC GIST
PNETS,PNETS
RT THYROID NODULE LT R O THYROID CANCER,RT THYROID NODULE LT R O THYROID CANCER
NF RIGHT LEG AND FOOT,NF RIGHT LEG AND FOOT
SUBSIDED CALCULOUS CHOLECYSTITIS,SUBSIDED CALCULOUS CHOLECYSTITIS
CA RECTOSIGMOID STAGE 3,CA RECTOSIGMOID STAGE 3
CLI LEFT LEG C ULCER AT LT HEEL,CLI LEFT LEG C ULCER AT LT HEEL
CLI LT LEG S P PTA STENT C DB C STOP BLEEDING,CLI LT LEG S P PTA STENT C DB C STOP BLEEDING
THYROGLOSSAL DUCT CYST WITH LEFT THYROOID NODULE BETHEDA3,THYROGLOSSAL DUCT CYST WITH LEFT THYROOID NODULE BETHEDA3
FEEDING INTOLARANCE VIA NG TUBE ASPIRATION,FEEDING INTOLARANCE VIA NG TUBE ASPIRATION
SUBSIDED CHOLECYSTITIS WITH RECURRENT HPTH AT RIGHT FOREARM,SUBSIDED CHOLECYSTITIS WITH RECURRENT HPTH AT RIGHT FOREARM
SKIN NECROSIS OF RT FORFOOT STUMP,SKIN NECROSIS OF RT FORFOOT STUMP
UGIBS,UGIB
INFECTED DM LT FOOT,INFECTED DM FOOT
SUBCUTANEOUS MASS AT BACK,SUBCUTANEOUS MASS AT BACK
GS PANCREATITIS S P ERCP,GS PANCREATITIS S P ERCP
RIGHT INCARCERATED INGUINAL HERNIA,RIGHT INCARCERATED INGUINAL HERNIA
PNETS AT TAIL OF PANCREAS,PNETS AT TAIL OF PANCREAS
MULTIPLE ISTHMUS NODULES,MULTIPLE ISTHMUS NODULES
DRY GANGRENE,DRY GANGRENE
AUS LT THYROID SUSPECTED THYROID CANCER,AUS LT THYROID SUSPECTED THYROID CANCER
TERTIARY HYPERPARATHYROIDISM,TERTIARY HYPERPARATHYROIDISM
BETHESDA IV THYROID NODULE,BETHESDA IV THYROID NODULE
RECURRENT PHYLLODE RIGHT BREAST,RECURRENT PHYLLODE RIGHT BREAST
LEFT OCCIPITAL MENINGIOMA,LEFT OCCIPITAL MENINGIOMA
LEFT ICA ANEURYSM,LEFT ICA ANEURYSM
C SPONDYLOSIS C3 4 C4 5 C5 6,C SPONDYLOSIS C3 4 C4 5 C5 6
L3 4 4 5 SPONDYLOLISTHESIS C SEVERE STENOSIS C RADICULOPATHY,L3 4 4 5 SPONDYLOLISTHESIS C SEVERE STENOSIS C RADICULOPATHY
CBD STONE S P ERCP พ ค 64,CBD STONE S P ERCP พ ค 64
RIGHT BREAST MASS HIGH RISK,RIGHT BREAST MASS HIGH RISK
BILATERAL BREAST MASS PHYLLODE,BILATERAL BREAST MASS PHYLLODE
EPIGASTRIUM PAIN BOWEL HABIT CHANGE,EPIGASTRIUM PAIN BOWEL HABIT CHANGE
R O RT RCC,R O RT RCC
PAPILLARY LESION RIGHT BREAST MASS,PAPILLARY LESION RIGHT BREAST MASS
CVI C5 RT LEG C4 LEFT LEG,CVI C5 RT LEG C4 LEFT LEG
PROLONGED INTUBATED,PROLONGED INTUBATED
RT INCARCERATED HERNIA,RT INCARCERATED HERNIA
SYMPTOMATIC MULTIPLE GALLSTONES,SYMPTOMATIC MULTIPLE GALLSTONES
CHRONIC LIMB ISCHEMIA LT FOOT,CHRONIC LIMB ISCHEMIA LT FOOT
CBD STONE S P ERCP COMPLETE REMOVE STONE,CBD STONE S P ERCP COMPLETE REMOVE STONE
SPINDLE CELL OF BLADDER TUMOR S P TUR BT,SPINDLE CELL OF BLADDER TUMOR S P TUR BT
LUTS DYSURIA,LUTS DYSURIA
SEVERE OSA WITH NASAL OBSTRUCTION,SEVERE OSA WITH NASAL OBSTRUCTION
BRANCHIAL CLEFT CYST,BRANCHIAL CLEFT CYST
INFECTED NOSE,INFECTED NOSE
PNEUMONIA WITH SECRETION OBSTRUCTION,PNEUMONIA WITH SECRETION OBSTRUCTION
CA DESCENDOSIGMOID WITH COLONIC OBTRUCTION,CA DESCENDOSIGMOID WITH COLONIC OBTRUCTION
DYSPEPSIA BOWEL HABIT CHANGE,DYSPEPSIA BOWEL HABIT CHANGE
GALLSTONE PANCREATITIS CHOLANGITIS S P ERCP 27 10 64,GALLSTONE PANCREATITIS CHOLANGITIS S P ERCP 27 10 64
LT THYROID NODULE TALLER THAN WIDE NODULE,LT THYROID NODULE TALLER THAN WIDE NODULE
IGA NEPHROPATHY C ESRD,IGA NEPHROPATHY C ESRD
OUFLOW STENOSIS LT,LT OUTFLOW STENOSIS
PRIMARY HYPERHIDOSIS,PRIMARY HYPERHIDROSIS
APPENDICEAL ABCESS,APPENDICEAL ABCESS
LEFT THYROID NODULE BETHESDA4,LEFT THYROID NODULE BETHESDA4
BLOODY NIPPLE DISCHARGE OF LEFT BREAST,BLOODY NIPPLE DISCHARGE OF LEFT BREAST
C56 SPONDYLOSIS WITH RADICULOPATHY,C5 6 SPONDYLOSIS WITH RADICULOPATHY
L3 S1 SPONDYLOSIS WITH RADICULOPATHY,L4 S1 SPONDYLOSIS WITH RADICULOPATHY
RT SPHENO ORBITAL ENPLAQUE MININGIOMA,RT SPHENO ORBITAL ENPLAQUE MININGIOMA
LEFT SPHENOID WING MENINGIOMA,LEFT SPHENOID WING MENINGIOMA
OLFACTORY BULB MENINGIOMA,OLFACTORY BULB MENINGIOMA
EDH S P CRANIECTOMY,EDH S P CRANIECTOMY
INFECT FALSE ANEURYSM LT CUBITAL,INFECT FALSE ANEURYSM LT CUBITAL
ESRD WITH TCC RT FV MALFUNCTION,ESRD WITH MALFUNCTION TCC
S P TB2 WITH STENOSIS,S P TB2 WITH STENOSIS
HYPOSPADIAS,HYPOSPADIAS
UPPER GI BLEEDING,UPPER GI BLEEDING
NF RIGHT LEG S P VACUUM DRESSING,NF RIGHT LEG S P VACUUM DRESSING
MASS AT LT ARYTHENOID,MASS AT LT ARYTHENOID
POST COVID19 C PNEUMONIA C PROLONG INTUBATION,POST COVID19 C PNEUMONIA C PROLONG INTUBATION
CRITICAL LIMB ISCHEMIA LT LEG,CRITICAL LIMB ISCHEMIA RT LEG
UTI,UTI
RT SPERMATIC CORD TUMOR,RT SPERMATIC CORD TUMOR
HYPERTROPHY OF NASAL TURBINATES,HYPERTROPHY OF NASAL TURBINATES
CHRONIC PANSINUSITIS,CHRONIC SINUSITIS
MASS LOWER LIP,MASS LOWER LIP
PNEUMONIA WITH PROLONG INTUBATION R O UAO,PNEUMONIA WITH PROLONG INTUBATION R O UAO
CHT SNORING,CHT SNORING
DNS RT ITHT,DNS RT ITHT
CHRONIC ULCER LT LOWER LEG,CHRONIC ULCER LT LOWER LEG
CHRONIC ULCER LT LEG,CHRONIC ULCER LT LEG
CHRONIC WOUND LT FOOT,CHRONIC WOUND LT FOOT
RUPTURE BLADDER,RUPTURE BLADDER
BILATERAL DJ STENT,BILATERAL DJ STENT
URETERITIS,URETERITIS
BPH C HIGH PSA 26,BPH C HIGH PSA
LUTS URINARY RETENTION,LUTS URINARY RETENTION
ADJACENT LEVEL L234 WITH RADICULOPATHY,ADJACENT LEVEL L234 WITH RADICULOPATHY
GASTRIC GIST S P DITAL GASTRECTOMY,GASTRIC GIST S P DITAL GASTRECTOMY
APPENDICEAL ABSCESS S P PCD DYSPEPSIA,APPENDICEAL ABSCESS S P PCD DYSPEPSIA
PERITONEAL CARCINOMATOSIS R O CA DESCENDING COLON,PERITONEAL CARCINOMATOSIS R O CA DESCENDING COLON
ESOPHAGEAL DIVERTICULUM,ESOPHAGEAL DIVERTICULUM
RETRACT OSTOMY,RETRACT OSTOMY
CAF HEMORRHOID,CAF HEMORRHOID
CAF DORSAL SUBCUTICULAR FIA,CAF AND DORSAL SUBCUTICULAR FIA
CA PROSTATE GLEASON 3 3 WITH PSA 7 > 9,CA PROSTATE GLEASON 3 3 WITH PSA 7 > 9
RECURRENT UTI DDX BPH NEUROGENIC BLADDER,RECURRENT UTI DDX BPH NEUROGENIC BLADDER
BILATERAL OBSTRUCTIVE UROPATHY,BILAT OBSTRUCTIVE UROPATHY
CONTRACEPTIVE MANAGEMENT S P FAILED VASECTOMY,CONTRACEPTIVE MANAGEMENT S P FAILED VASECTOMY
