variant,canonical
LOCALIZED SWELLING MASS AND LUMP NECK,LOCALIZED SWELLING MASS AND LUMP NECK
UNSPECIFIED LUMP IN BREAST,UNSPECIFIED LUMP IN BREAST
RECTAL PROLAPSE,RECTAL PROLAPSE
STATUS CHEMOPORT,STATUS CHEMOPORT
CLTI LT LEG,CLTI RT LEG
MALIGNANT NEOPLASM OF FLOOR OF MOUTH ANTERIOR FLOOR OF MOUTH,MALIGNANT NEOPLASM OF FLOOR OF MOUTH ANTERIOR FLOOR OF MOUTH
L345 SPONDYLOSIS,L345 SPONDYLOSIS
ESRD ON HD,ESRD ON HD
ESRD WITH CEPHALIC VEIN STENOSIS,ESRD WITH CENTRAL VEIN STENOSIS
STERILIZATION,STERILIZATION
MASS AT SCALP,MASS AT SCALP
CAF,CAF
BENIGN NEOPLASM OF PAROTID GLAND,BENIGN NEOPLASM OF THYROID GLAND
PERIANAL ABSCESS,PERIANAL ABSCESS
AAA,AAA
C5 6 SPONDYLOSIS,C SPONDYLOSIS
RT RC,RT RC
RECTAL MASS,RECTAL MASS
CEPHALIC ARCH STENOSIS,CEPHALIC ARCH STENOSIS
BILAT CRS WITH NP,BILAT CRS WITH NP
L4 S1 SPONDYLOSIS,L4 S1 SPONDYLOSIS
NONTOXIC SINGLE THYROID NODULE,NONTOXIC SINGLE THYROID NODULE
RIGHT IIH,RIGHT IIH
LEFT THYROID NODULE,LT THYROID NODULE
CVI C2S BOTH LEGS,CVI C2S BOTH LEGS
SNORING,SNORING
ESRD WITH CRBSI,ESRD WITH CRBSI
HAEMORRHOID,HEMORRHOID
AVBG STENOSIS,AVF STENOSIS
CA CECUM,CA CECUM
STRICTURE URETHRA,URETHRAL STRICTURE
BILATERAL INGUINAL HERNIA,BILATERAL INGUINAL HERNIA
CA LT BREAST,LEFT CA BREAST
ACUTE CHOLECYSTITIS,ACUTE CHOLECYSTITIS
LT CA BREAST,LEFT CA BREAST
LT CRS,LT CRS
THROMBOSED AVBG LT UPPER ARM,THROMBOSED AVBG LT UPPER ARM
CA LOWER RECTUM,CA LOWER RECTUM
CA DESCENDING COLON,CA DESCENDING COLON
