variant,canonical
CYSTO DILATE S CURGVE,CYSTO DILATE S CURGVE
2ND STAGE PARRRAFINIOMA,2ND STAGE PARAFFINOMA
CIRCUMCISION EXCISION ELECTROCAUTERIZATION,CIRCUMCISION EXCISION ELECTROCAUTERIZATION
ORIF C P S RT ZYGOMA BOTH MAXILLAE MANDIBLE C RT ORBITAL FLOOR RECONSTRUCTION C 3D MESH PLATE WITH ARCH BAR IMF WITH PRIMARY WOUND CLOSURE,ORIF C P S RT ZYGOMA BOTH MAXILLAE MANDIBLE C RT ORBITAL FLOOR RECONSTRUCTION C 3D MESH PLATE WITH ARCH BAR IMF WITH PRIMARY WOUND CLOSURE
VY FLAP ON THUMB,VY FLAP ON THUMB
CIRCUMCISION UNDER LA,CIRCUMCISION UNDER TIVA
RT URS UNDER GA,RT URS UNDER GA
CYSTOSCOPE WITH DJ STENT INSERTION,CYSTOSCOPE WITH RT DJ STENT INSERTION
INCISIONAL URETHROTOMY,INCISIONAL URETHROTOMY
TURP C URETHRAL DILATION,TURP C URETHRAL DILATION
TUF TURP,TUF TURP
CYSTOSCOPY URETHRAL DILATION,CYSTOSCOPY DILATE URETHRA
FRENULECTOMY,FRENULECTOMY
TUR BT GA,TUR BT GA
CYSTOSCOPY RETAINED FOLEY CATH,CYSTOSCOPY RETAINED FOLEY CATH
FULL FACE LIFT NECK LIFT FACIAL FAT GRAFT DIRECT BROW LIFT,FULL FACE LIFT NECK LIFT FACIAL FAT GRAFT DIRECT BROW LIFT
DEBRIDEMENT ABDOMINAL CLOSURE,DEBRIDEMENT ABDOMINAL CLOSURE
WIDE EXCISION FLAP COVERAGE,WIDE EXCISION FLAP COVERAGE
CYSTOSCOPY WITH RT DJ INSERTION,CYSTOSCOPE WITH RT DJ STENT INSERTION
EXCISION RIGHT SCROTAL MASS,EXCISION RIGHT SCROTAL MASS
TRACHEOSTOMY C D L C BIOPSY LT BASE OF TONGUE,TRACHEOSTOMY C D L C BIOPSY LT BASE OF TONGUE
OTHER EXCISION OF SOFT TISSUE,OTHER EXCISION OF SOFT TISSUE
WIRE LOCALIZATION EXCISION,WIRE LOCALIZATION WIDE EXCISION
COMPLETE LARYNGECTOMY,COMPLETE LARYNGECTOMY
TB ได้ ANTI TB> 2 WK HX ARDS,TB ได้ ANTI TB> 2 WK HX ARDS
OPEN SEGMENTECTOMY S6 8,OPEN SEGMENTECTOMY S6 8
UNILATERAL THYROID LOBECTOMY LT,UNILATERAL THYROID LOBECTOMY
LAPAROSCOPIC EXTENDED RT HEMICOLECTOMY,LAPAROSCOPIC EXTENDED RT HEMICOLECTOMY
REMOVE BILATERAL IMPLANTS AXILLARY LN EXCISION WITH RE IMPLANTATION,REMOVE BILATERAL IMPLANTS AXILLARY LN EXCISION WITH RE IMPLANTATION
ENDOSCOPIC SEPTOPLASTY WITH TURBINOPLASTY,ENDOSCOPIC SEPTOPLASTY WITH INFERIOR TURBINOPLASTY
CHANGE VAC ABDOMINAL TOILET WITH RETENTION SUTURE,ABDOMINAL TOILET CHANGE VAC RETENTION SUTURE
WIDE EXCISION MASS ON RIGHT CHEEK WITH FREE FALP COVERAGE ALT,WIDE EXCISION MASS ON RIGHT CHEEK WITH FREE FALP COVERAGE ALT
SCAR REVISION,REVISION SCAR
TEMPORAL BROW LIFT,TEMPORAL BROW LIFT
LEFT TOEPVA,LEFT TOETVA
WHIPPLE PROCEDURE,WHIPPLE PROCEDURE
GROIN NODE DISECTION,GROIN NODE DISECTION
LIFTING,LIFTING
OPEN SEGMENTECTOMY S4B 5,OPEN SEGMENTECTOMY S6 8
CORRECTION UPPER LIP,CORRECTION UPPER EYELID
BONE GRAFT,BONE GRAFT
OPEN RIGHT TRISECTIONECTOMY CAUDATE LOBECTOMY PV RESECTION WITH RECONSTRUCTION BILE DUCT RESECTION LYMPHNODE DISSECTION ROU EN Y HEPATICOJEJUNOSTOMY,OPEN RIGHT TRISECTIONECTOMY CAUDATE LOBECTOMY PV RESECTION WITH RECONSTRUCTION BILE DUCT RESECTION LYMPHNODE DISSECTION ROU EN Y HEPATICOJEJUNOSTOMY
LOWER LIP REVISION,LOWER LIP REVISION
SHAVE EXCISION,SHAVE EXCISION
UPPER EYEYLID CORRECTION,CORRECTION UPPER EYELID
TEMPORAL LIFT,TEMPORAL LIFT
FITULOGRAM PTA,FISTULOGRAM PTA
WIDE EXCISION C LOCAL FLAP UNDER GA,WIDE EXCISION C LOCAL FLAP UNDER GA
EL C REPAIR LEST URETER,EL C REPAIR LEST URETER
BILATERAL HL VS NO STAB,BILATERAL HL VS NO STAB
EXCISIONAL DEBRIDEMENT WOUND SUTURE,EXCISIONAL DEBRIDEMENT WOUND SUTURE
EGD BIOPSY,EGD BIOPSY
NIP BONE SUTURE WOUND,NIP BONE SUTURE WOUND
REWIDE EXCISION,WIDE EXCISION
ABDOMINAL TOILRT C CHANGE VAC DRESSING,CHANGE VACUUM DRESSING C ABDOMINAL TOILET
OPEN RIGHT THYROIDECTOMY WITH ISTHMECTOMY CND,OPEN RIGHT THYROIDECTOMY WITH ISTHMECTOMY
EGD REMOVE,EGD REMOVE
RIGHT VAE,RIGHT VAE
LATERAL MASS SCREW C LAMINECTOMY C4 5 6,LATERAL MASS SCREW C LAMINECTOMY C4 5 6
BIFRONTAL CRANIOTOMY C TUMOT REMOVAL,BIFRONTAL CRANIOTOMY WITH TUMOR REMOVAL
GASTRO CLONOSCOPE,GASTRO COLONOSCOPE
ABDOMINAL TOILET WITH GJ TEMPORARY CLOSURE,ABDOMINAL TOILET WITH GJ TEMPORARY CLOSURE
L1 5 LAMINECTOMY C PDS FIXATION,LAMINECTOMY C PDS FIXATION L4 5 MIS
MIF TLIF L 4 5,MIF TLIF L 4 5
TONSILLECTOMY GA POST OP SICU จองเมื่อ 10 10 2566 พี่พยบ ณัฐกฤตา รับทราบ,TONSILLECTOMY GA POST OP SICU จองเมื่อ 10 10 2566 พี่พยบ ณัฐกฤตา รับทราบ
SUPINE MAYFILED MICROSCOPE NAVIGATOR SORING,SUPINE MAYFILED MICROSCOPE NAVIGATOR SORING
MICRODOCHECTOMY OF RIGHT NIPPLE,MICRODOCHECTOMY OF RIGHT NIPPLE
RIGHT MASTECOTMY WITH SLNB LEFT PROPHYLAXIS MASTECTOMY,RIGHT MASTECOTMY WITH SLNB LEFT PROPHYLAXIS MASTECTOMY
RECRANIOTOMY C TUMOR REMOVAL,CRANIOTOMY C TUMOR REMOVAL
LAMINECTOMY W PDS FIXATION L45 S1 MIS,MIS L4 S1 LAMINECTOMY WITH PDS FIXATION
SURGICAL DRAINAGE,SURGICAL DRAINAGE
SISTRUNK OPEARTION,SISTRUNK OPERATION
EXCISION MASS AT PINNA,EXCISION MASS AT PINNA
SECOND REPAIR,SECOND REPAIR
DL BX CHANGE TUBE,DL BX CHANGE TUBE
BILATERAL SKIN REDUCING MASTECTOMY WITH IMPLANT RECONSTURCTION DTI,BILATERAL SKIN REDUCING MASTECTOMY WITH IMPLANT RECONSTURCTION DTI
ENDOSCOPIC BX RT NASAL,ENDOSCOPIC BX RT NASAL
LAPAROSCOPIC BILATERAL OOPHORECTOMY,LAPAROSCOPIC BILATERAL OOPHORECTOMY
ADENOIDECTOMY UNDER COBLATOR NASAL ENDOSCOPIC RF NOSE GA,ADENOIDECTOMY UNDER COBLATOR NASAL ENDOSCOPIC RF NOSE GA
DELAYED IMPLANT RECONSTRUCTION PF LEFT BREAST,DELAYED IMPLANT RECONSTRUCTION PF LEFT BREAST
REVISION TCC RT IJV,REVISE TCC RT IJV
RT BIG TOE AMPUTATION WITH DEBRIDEMENT,RT BIG TOE AMPUTATION WITH DEBRIDEMENT
AMPUTATION RIGHT GREAT TOE DB LEFT HEEL,AMPUTATION RIGHT GREAT TOE DB LEFT HEEL
TCC LT IJV RT CFV,TCC RT EJV LT IJV
TCC RT IJV DLC RT IJV,TCC RT IJV DLC RT IJV
CHANGE VACUUM DRESSING WITH DEBRIDEMENT,CHANGE VACUUM DRESSING WITH DEBRIDEMENT
RFA BOTH LEGS FOAM SCLEROSING,RFA BOTH LEGS FOAM SCLEROSING
AVBG RT FOREARM UNDER LA,AVBG RT FOREARM UNDER LA
DLC AT LT IJV,DLC AT RT IJV
ANGIOGRAM PTA,ANGIOGRAM PTA
AVBG AT LT FOREARM UNDER BPB,AVBG AT LT FOREARM UNDER BPB
TCC LT SCV UNDER LA C MAC,TCC LT SCV UNDER LA C MAC
REVISED STUMP AND SUTURE RT FOOT,REVISED STUMP AND SUTURE RT FOOT
REMOVE LT AVBG,REMOVE AVBG
FLEXIBLE CYSTOSCOPY TRUS BIOPSY,FLEXIBLE CYSTOSCOPY TRUS BIOPSY
SUPERFICIALIZATION FISTULOGRAM,SUPERFICIALIZATION FISTULOGRAM
TCC RT IJV EJV VENOGRAM FV,TCC RT IJV EJV VENOGRAM FV
OPEN RIB RESECTION WITH RECONSTRUCTION WITH PLATE AND SCREW,OPEN RIB RESECTION WITH RECONSTRUCTION WITH PLATE AND SCREW
NEEDLE LOCALIZED EXCISIONAL BIOPSY AT SEGMENTAL CALCIFICATION RT LIQ,NEEDLE LOCALIZED EXCISIONAL BIOPSY AT SEGMENTAL CALCIFICATION RT LIQ
OPEN THORACOTOMY WITH PLEURAL DRAINAGE RT LUNG,OPEN THORACOTOMY WITH PLEURAL DRAINAGE RT LUNG
FISTULOGRAM PTA BALLOON UNDER LA,FISTULOGRAM PTA BALLOON UNDER LA
FISTULOGRAM STENT,FISTULOGRAM PTA STENT
OPEN WEDGE LIVER S6,OPEN WEDGE LIVER S6
OC WEDGE LIVER SEGMENT 4B 5,OC WEDGE LIVER SEGMENT 4B 5
GASTROSCYSTOSCOPY,GASTROSCYSTOSCOPY
AVF LT WRIST LIGATE AVF LT CUBITAL,AVF LT CUBITAL LIGATE AVF LT WRIST
WIDE EXCISION UMBILLICAL MASS,WIDE EXCISION UMBILLICAL MASS
OFF PERM CATH,OFF PERM CATH
HL VENOUS STRIPPING STAB AVULSION BOTH LEGS,HL VENOUS STRIPPING STAB AVULSION BOTH LEGS
TCCRT ORLT IJV,TCCRT ORLT IJV
SEGMETAL GRAFT RESECTION WITH AVF LT CUBITAL,SEGMETAL GRAFT RESECTION WITH AVF LT CUBITAL
RIGID CYSTOSCOPY C URETHRAL DILATION,RIGID CYSTOSCOPY C URETHRAL DILATION
FISTULOGRAM PTA WITH STENT EVERFLEX 8 9 MM,FISTULOGRAM PTA WITH STENT EVERFLEX 8 9 MM
LT DJ STENT PLACEMENT,LT DJ STENT PLACEMENT
LT ORCHIECTOMY INGUINAL APPROACH,LT ORCHIECTOMY INGUINAL APPROACH
RT DJ ATENT REMOVAL,RT DJ ATENT REMOVAL
REZUM UNDER IV SEDATION,REZUM UNDER IV SEDATION
TCC RT EJV CFV,TCC RT EJV CFV
CYSTOSCOPTY,FCYSTOSCOPY
DJ STENT EXCHANGING UNDER IV SEDATION,LT DJ STENT EXCHANGING UNDER IV SEDATION
FLEXIBLE URS,FLEXIBLE URS
OFF DJ STENT LT,OFF DJ STENT
DJ STENT REMOVEL,DJ STENT REMOVAL
KISSING STENT BOTH CIA C RT EIA AND RT SFA PTA BALLOON ANGIOPLASTY STENT,KISSING STENT BOTH CIA C RT EIA AND RT SFA PTA BALLOON ANGIOPLASTY STENT
TCC INSERTION AT RT EJV,TCC INSERTION AT RT IJV
MRI FUSTION TRUX BX,MRI FUSION TRUS BX
LASER VC WITH TURP,LASER VC WITH TURP
FLEX CYSTOSCOPY BX URINE AFB,FLEX CYSTOSCOPY BX URINE AFB
FLEX CYSTOSCOPY EC,FLEX CYSTOSCOPE
BILATERAL HL C VENOUS STRIPPING C MULTIPLE PHLEBECTOMY,BILATERAL HL C VENOUS STRIPPING C MULTIPLE PHLEBECTOMY
COLONOSCOPY CLOSURE ILEOSTOMY,COLONOSCOPY CLOSURE ILEOSTOMY
EXCISION FISTULOTOMY,EXCISION FISTULOTOMY
BALLOON VENOPLASTY REMOVE TCC,BALLOON VENOPLASTY REMOVE TCC
FISTOLOTOMY,FISTULOTOMY
EL CLOSURE ILEOSTOMY,EL CLOSURE ILEOSTOMY
RT HL WITH VS LT RFA WITH MULTIPLE PHLEBECTOMY,RT HL WITH VS WITH MULTIPLE PHLEBECTOMY
CHEMOPORT INSERTION RT,CHEMOPORT INSERTION
RAY AMPUTATION AND DEBRIDEMENT,RAY AMPUTATION AND DEBRIDEMENT
RT CAROTID STENTING,RT CAROTID STENTING
CHANGE BILAT DJ STENE ใช้ FLU,CHANGE BILAT DJ STENE ใช้ FLU
VENOGRAM REVISED TCC LT IJV TCC RT IJV,VENOGRAM REVISED TCC LT IJV TCC RT IJV
OPEN RHINOPLASTY TO CORRECT DEFORMITY USING RIB GRAFT,OPEN RHINOPLASTY TO CORRECT DEFORMITY USING RIB GRAFT
AVF LT CUBITAL AVBG LT UPPER ARM,AVF LT CUBITAL AVBG LT UPPER ARM
BKA RT LEG,BKA RT LEG
LT SPJ LIGATION STAB AVULSION LEFT LEG,LT SPJ LIGATION STAB AVULSION LEFT LEG
SEGMENTAL GRAFT RESECTION WITH INTERPOSITION AVBG LT FOREARM,SEGMENTAL GRAFT RESECTION WITH INTERPOSITION AVBG LT FOREARM
PERICARDIAL WINDOW,PERICARDIAL WINDOW
OSTEOTOMY LOCAL,OSTEOTOMY LOCAL
VATS WITH LOBECTOMY RT LUNG,VATS WITH LOBECTOMY RT LUNG
RT VATS WITH LUNG BIOPSY,RT VATS WITH LUNG BIOPSY
VATS C WEDGE EXCISION BILATERAL PULMONARY NODULE,VATS C WEDGE EXCISION BILATERAL PULMONARY NODULE
RT VATS WITH SURGICAL PLEURODESIS BLEBECTOMY,RT VATS WITH SURGICAL PLEURODESIS BLEBECTOMY
VATS WITH MINITHORACOTOMY,VATS WITH MINITHORACOTOMY
SKINGRAFT DRONOR FORM LEFT THIGH,SKINGRAFT DRONOR FORM LEFT THIGH
REVISION BILAT FESS WITH MICRODEBRIDER AND NAVIGATOR,REVISION BILAT FESS WITH MICRODEBRIDER AND NAVIGATOR
SEPTOPLASTY RF NOSE PARTIAL UVULECTOMY GA,SEPTOPLASTY RF NOSE PARTIAL UVULECTOMY GA
EXCISION AT R3,EXCISION AT R3
CHANGE VACUUM DRESSING WITH ABD TOILET,ABDOMINAL TOILET WITH CHANGE VAC DRESSING
EGD UNDER LA WITH MAC,EGD UNDER LA WITH MAC
OC IOC,OC IOC
BHC,BHC
OPEN RIGHT HERNIOPLASTY WITH MESH GRAFT,OPEN RIGHT HERNIOPLASTY WITH MESH GRAFT
REVISED PE TUBE UNDER MICROSCOPY,REVISED PE TUBE UNDER MICROSCOPY
NASAL TELE OFF PACKING CAUTERY,NASAL TELE OFF PACKING CAUTERY
RT BCT SLNB UNDER GA,RT BCT SLNB UNDER GA
DL EXCISION,DL EXCISION
OPEN COMPLETION LEFT THYROIDECTOMY WITH CENTRAL LN DISSECTION,OPEN COMPLETION LEFT THYROIDECTOMY WITH CENTRAL LN DISSECTION
WIRE LOCALIZATION OF RIGHT BREAST MASS EXCISION EXCISION LIPOMA OF LEFT BREAST,WIRE LOCALIZATION OF RIGHT BREAST MASS EXCISION EXCISION LIPOMA OF LEFT BREAST
EXCISION DEBRIDEMENT,EXCISIONAL DEBRIDEMENT
CYSTOSCOPE WITH CLOT REMOVAL,CYSTOSCOPE WITH CLOT REMOVAL
DEBRIDEMENT RIGHT HAND FLAP COVERAGE STSG,DEBRIDEMENT RIGHT HAND FLAP COVERAGE STSG
EGD COLOSNOSCOPY,EGD COLONOSCOPY
TUMOR DEBULKING,TUMOR DEBULKING
HEMORROIDECTOMY,HEMORRHOIDECTOMY
SIGMOIDECTOMY WITH CLOSURE COLOSTOMY,SIGMOIDECTOMY WITH CLOSURE COLOSTOMY
DB REDUCTION KWIRE FIXATION TENDON REPAIR,DB REDUCTION KWIRE FIXATION TENDON REPAIR
CORRECTURE UPPER EYELID BROW LIFT,CORRECTURE UPPER EYELID BROW LIFT
OPEN AR WITH TAH AND BSO WITH SMALL BOWEL RESECTION WEDGE BLADDER,OPEN AR WITH TAH AND BSO WITH SMALL BOWEL RESECTION WEDGE BLADDER
DEBRIDEMENT WITH PTSG FROM LT GROIN WITH K WIRE FIXATION,DEBRIDEMENT WITH PTSG FROM LT GROIN WITH K WIRE FIXATION
CORRECTION UPPER EYELID AND FORHEAD LIFTING,CORRECTION UPPER EYELID AND FORHEAD LIFTING
WIDE EXCISION WITH LOCAL FLAP,WIDE EXCISION WITH LOCAL FLAP
BALLOON VENOPLASTY WITH STENTING,BALLOON VENOPLASTY WITH STENT
DLC LT IJV C OFF TK UNDER LA,DLC LT IJV C OFF TK UNDER LA
CROSSOVER BALLOON ANGIOPLASTY LT LEG,CROSSOVER BALLOON ANGIOPLASTY LT LEG
SUBCU EXCISION,SUBCU EXCISION
TCC LT IJV OR FV CENTROS,TCC LT IJV OR FV CENTROS
ORIF C PLATE AND SCREW C CLOSED REDUCTION OF NASAL BONE MMF,ORIF C PLATE AND SCREW C CLOSED REDUCTION OF NASAL BONE MMF
BILAT RFA WITH RT PHLEBECTOMY,BILATERAL RFA WITH RT PHLEBECTOMY
TCC RT SV CENTROS,TCC RT SV CENTROS
REVISE AVBG LT THIGH,REVISE AVBG LT THIGH
BILATERAL RFA WITH PHLEBECTOMY,BILATERAL RFA WITH RT PHLEBECTOMY
PTA ANGIOPLASTY LT AVF,PTA ANGIOPLASTY LT AVF
REVISED AVBG TCC,REVISED AVBG TCC
EXCISION WOUND RIGHT THIGH,EXCISION WOUND RIGHT THIGH
ANEURYSMECTOMY AVF LT CUBITAL,ANEURYSMECTOMY AVF LT CUBITAL
INCISIONAL BX UNDER LA,INCISIONAL BX UNDER LA
UMBILICAL RECONSTRUCTION,UMBILICAL RECONSTRUCTION
HIGH LIGAITON WITH VENOUS STRIPPING WITH PHLEBECTOMY LT LEG,LT HIGH LIGATION WITH VENOUS STRIPPING WITH PHLEBECTOMY
LT UPPER ARM AVBG,AVBG LT UPPER ARM
RT MYRINGOTOMY PE TUBE INSERTION LA,RT MYRINGOTOMY PE TUBE INSERTION LA
LAMINECTOMY L4 5 C PDS FIXATION,LAMINECTOMY C PDS FIXATION L4 5 MIS
SUBLABIAL TRANSPHENOID TUMOR REMOVAL,SUBLABIAL TRANSPHENOID TUMOR REMOVAL
D L C BIOPSY C TRACHEOSTOMY,DL C TELE C BIOPSY C TRACHEOSTOMY
RT SPHENOIDOTOMY POWER INFERIOR TURBINOPLASTY,RT SPHENOIDOTOMY POWER INFERIOR TURBINOPLASTY
MIS LAMINECTOMY C PDS FIXATION L5S1,LAMINECTOMY C PDS FIXATION L4 5 MIS
TONSILLECTOMY BSP UVULECTOMY RF NOSE GA,TONSILLECTOMY BSP UVULECTOMY RF NOSE GA
ENDOSCOPIC TRANSPHENOID,ENDOSCOPIC TRANSPHENOID
TRACHEOSTOMY C D L C BIOPSY,DL C TELE C BIOPSY C TRACHEOSTOMY
ACDF C345,ACDF C456
RT SOC C TUMOR REMOVAL,SOC C TUMOR REMOVAL
LAMINECTOMY WITH PDS FIXATION L3 S1,MIS L4 S1 LAMINECTOMY WITH PDS FIXATION
ACDF C568 PEEK PLATE,ACDF C5 6 PEEK PLATE
EXPLOR WOUND WITH REPAIR TENDON,EXPLOR WOUND WITH REPAIR TENDON
RT FESS SEPTOPLASTY,LT FESS SEPTOPLASTY
ORIF WITH PLATE AND SCREW WITH MMF,ORIF WITH PLATE AND SCREW WITH MMF
BREAST EXCISION,EXCISION LT BREAST
TPS C LAMINECTOMY L4 5,TPS C LAMINECTOMY L4 5
DEBRIDEMENT WITH SUTURE WOUND,DEBRIDEMENT WITH SUTURE WOUND
SCRUB BURN WITH STSG,SCRUB BURN WITH STSG
LP SHUNT,LP SHUNT
CLOSED REDUCTION LEFT ZYGOMATIC ARCH,CLOSED REDUCTION LEFT ZYGOMATIC ARCH
DEBRIDEMENT RE EXCISION LOCAL FLAP STSG,DEBRIDEMENT RE EXCISION LOCAL FLAP STSG
BURR HOLE C IRRIGATION,BILAT BURR HOLE C IRRIGATION
LAP RHC C WEDGE LIVER S6,LAP RHC C WEDGE LIVER S6
RT HL WITH MULTIPLE PHLEBECTOMY,RT HL WITH VS WITH MULTIPLE PHLEBECTOMY
SHAVE BIOPSY,SHAVE BIOPSY
SCAR REVISION STSG K WIRE,SCAR REVISION STSG K WIRE
OPEN LEFT UPPER AND LOWER PARATHYROIDECTOMY,OPEN LEFT LOWER AND UPPER PARATHYROIDECTOMY UNDER GA
EXCISION EXPLORED WOUND,EXCISION EXPLORED WOUND
HIFU BREAST AUGMENTATION,HIFU BREAST AUGMENTATION
ENDOSCOPIC LEFT MASTECTOMY SLNB WITH IMPLANT RECONSTRUCTION,ENDOSCOPIC LEFT MASTECTOMY SLNB WITH IMPLANT RECONSTRUCTION
RIGHT TOETVA WITH RIGHT CND,RIGHT TOETVA WITH RIGHT CND
EXCISION PTH AT LT FOREARM,EXCISION PTH AT LT FOREARM
WIDE EXCISION LT BREAST MAS C EXCISION RT BREAST MASS,WIDE EXCISION LT BREAST MAS C EXCISION RT BREAST MASS
COLI EMBOLIZATION ILAIAC ARTERY,COLI EMBOLIZATION ILAIAC ARTERY
CRANIOTOMY WITH TUMOR REMOVAL RT,CRANIOTOMY WITH TUMOR REMOVAL
ACDF C5 6 PEAK PLATE,ACDF C5 6 PEEK PLATE
RT RETROSIGMOID SOC WITH TUMOR REMOVAL EVD,LEFT RETROSIGMOID SOC WITH TUMOR REMOVAL
ACDF C3 4 5 PEAK PLATE,ACDF C3 4 5 PEAK PLATE
LAMINECTOMY C4 5,LAMINECTOMY C4 5
RT HEMILAMINECTOMY C7,RT HEMILAMINECTOMY C7
L3 4 5 LAMINECTOMY WITH DISCECTOMY WITH PDS FIXATION,L4 5 LAMINECTOMY WITH DISCECTOMY PDS FIXATION TLIF
TLIF L4 5,TLIF L4 5
LAMINECTOMY L1 C PDS FIXATION T11 L3,LAMINECTOMY L1 C PDS FIXATION T11 L3
BILAT FESS TURBINOPLASTY,BILAT FESS TURBINOPLASTY
ACDF 4 5 6 3 4,ACDF 4 5 6 3 4
PROGRAMMABLE VP SHUNT,RT PROGRAMMABLE VP SHUNT
ACDF C6 7 DIVA,ACDF C6 7 DIVA
ENDOSCOPIC LT TUMOR REMOVAL,ENDOSCOPIC TUMOR REMOVAL
RT CRANIOTOMY WITH TUMOR,RT CRANIOTOMY WITH TUMOR
RT MIDDLE MEATAL ANTROSTOMY,RT MIDDLE MEATAL ANTROSTOMY
SEPTOPLASTY DOLYE,SEPTOPLASTY DOLYE
TRACHEOSTOMY FOL,TRACHEOSTOMY FOL
DL BX,DL BX
POWER TURBINOPLASTY GA ใช้หัว MICRODEBRIDER,POWER TURBINOPLASTY GA ใช้หัว MICRODEBRIDER
SKIN BIOPSY,SKIN BIOPSY
VOCAL CORDECTOMY,VOCAL CORDECTOMY
LT ATTICOTOMY MRMD NIMS,LT ATTICOTOMY MRMD NIMS
REVISION LT TYMPANOMASTOIDECTOMY,REVISION LT TYMPANOMASTOIDECTOMY
AXILLO BIFEM BYPASS,AXILLO BIFEM BYPASS
SEGMENTAL GRAFT RESECRTION C CONVERT TO AVF LT UPPER ARM,SEGMENTAL GRAFT RESECRTION C CONVERT TO AVF LT UPPER ARM
FISTULOGRAM PTA RT ARM,FISTULOGRAM PTA RT ARM
LT RFA,LT RFA
SEGMENTAL GRAFT RESECTION LT FOREARM AVBG WITH INTERPOSITION GRAFT,SEGMENTAL GRAFT RESECTION WITH INTERPOSITION AVBG LT FOREARM
TCC RT EJV OR TCC RT CFV,TCC RT EJV OR TCC RT CFV
TCC LT IJV OR DLC AT RT CFV,TCC LT IJV OR DLC AT RT CFV
REVISED TCC AT LT IJV CENTROS,REVISED TCC AT LT IJV CENTROS
AVF LT CUBITAL WITH LIGATE AVF LT WRIST,AVF LT CUBITAL LIGATE AVF LT WRIST
LT VATS C BIOPSY,LT VATS C BIOPSY
WEDGE LIVER SEGMENT 6 8 IOUS,WEDGE LIVER SEGMENT 6 8 IOUS
OPEN ANEURYSMORHAPPHY USING BIFURCATED GRAFT TUBE GRAFT,OPEN ANEURYSMORHAPPHY USING BIFURCATED GRAFT TUBE GRAFT
VENASEAL OF RT LEG,VENASEAL OF RT LEG
LIGATION AVF RT CUBITAL DLC TO TCC RT FV,LIGATION AVF RT CUBITAL DLC TO TCC RT FV
RT EPIDIDYMECTOMY,RT EPIDIDYMECTOMY
ABDOMINAL TOILET C VACCUUM DRESSING,ABDOMINAL TOILET C VAC DRESSING
SECONDARY TCC INSERTION,SECONDARY TCC INSERTION
DOWNHILL WITH RETROGRADE ANGIOPLASTY LT LEG,DOWNHILL WITH RETROGRADE ANGIOPLASTY LT LEG
WIDE EXCISION L1 WITH MICRODOCHECTOMY WITH SLNB,WIDE EXCISION L1 WITH MICRODOCHECTOMY WITH SLNB
ACDF C5 6 PEEL PLATE,ACDF C5 6 PEEK PLATE
CRYOABLASION LT BREAST,CRYOABLASION LT BREAST
CRYOABLASION OF BREAST,CRYOABLASION LT BREAST
OPEN RIGHT SUBSTERNAL THYROIDECTOMY AND ISTHMECTOMY,OPEN RIGHT SUBSTERNAL THYROIDECTOMY AND ISTHMECTOMY
BILATERAL MASTECTOMY BOTH SLNB,BILATERAL MASTECTOMY BOTH SLNB
HIFU RIGHT THYROID MASS UNDER GA,HIFU RIGHT THYROID MASS UNDER GA
CHANGE VACUUM D S,CHANGE VACUUM D S
MICROWAVE ABLATION BOTH THYROID LOBE UNDER LA,MICROWAVE ABLATION BOTH THYROID LOBE UNDER LA
RIGHT SUPERFICIAL PAROTIDECTOMY,RT SUPERFICIAL PAROTIDECTOMY
MWA AT LEFT THYROID MASS UNDER GA,MWA AT LEFT THYROID MASS UNDER GA
RT BCT WITH SLNB ALND,RT BCT WITH SLNB ALND
DILATE WITH RIGID CYSTO,DILATE WITH RIGID CYSTO
RIGID CYSTOSCOPE UNDER IV SEDATION,RIGID CYSTOSCOPE UNDER IV SEDATION
LASEER VC,LASER VC
WEDGE LIVER RESECTION,WEDGE LIVER RESECTION
LEFT ADRENALECTOMY นอกเวลา,LEFT ADRENALECTOMY นอกเวลา
FLEXIBLECYSTOSCOPY,FLEXIBLECYSTOSCOPY
OPEN RH,OPEN RH
RIGHT RIRS LASER,RIGHT RIRS LASER
VATS WEDGE RUL,VATS WEDGE RUL
CLOSURE HARTMANN,CLOSURE HARTMANN
VATS REPAIR AIRLEAK RT CHEST,VATS REPAIR AIRLEAK RT CHEST
SEGMENTAL GRAFT REMOVAL OR TOTAL GRAFT REMOVAL REPAIR LT BRACHIAL A,SEGMENTAL GRAFT REMOVAL OR TOTAL GRAFT REMOVAL REPAIR LT BRACHIAL A
KARYDAKYS PROCEDURE,KARYDAKIS PROCEDURE
LAPAROSCOPIC SUBTOTAL COLECTOMY,LAPAROSCOPIC SUBTOTAL COLECTOMY
REVISED AVBG STENT,REVISED AVBG STENT
TRANANL EXCISION,TRANSANAL EXCISION
FISTULOTOMY EXCISION,EXCISION FISTULOTOMY
SEGMENTAL GRAFT REMOVE,SEGMENTAL GRAFT REMOVE
RT BRACHIOANTECUBITAL OR BRACHIOBASILIC AVF,RT BRACHIOANTECUBITAL OR BRACHIOBASILIC AVF
BALLOON VENOPLASTY LT AVF,BALLOON VENOPLASTY AT LT AVF
TOE AMPUTATION,TOE AMPUTATION
AVBG LT UPPERAM,AVBG LT UPPERARM
TRANSMETATASAL AMPUTATION RT FOOT,TRANSMETATASAL AMPUTATION RT FOOT
AVBG LT FOREARM LIGATE AVF,AVBG LT FOREARM LIGATE AVF
ANGIOGRAM BALLOON ANGIOPLASTY BTK,ANGIOGRAM BALLOON ANGIOPLASTY BTK
