variant,canonical
RT ENDOSCOPIC TYMPANOPLASTY,LT ENDOSCOPIC TYMPANOPLASTY
CHANGE VAC DRESSING,CHANGE VAC DRESSING
FLEX CYSTO,FLEX CYSTO
LEFT TOETVA,LEFT TOETVA
EXCISION LT BREAST MASS,EXCISION LT BREAST MASS
OPEN APPENDECTOMY,OPEN APPENDECTOMY
VAE,VAE
RT PCNL,RT PCNL
MRI FUSION TRUS BX,MRI FUSION TRUS BX
WIRE LOCALIZATION WIDE EXCISION,WIRE LOCALIZATION WIDE EXCISION
DJ STENT REMOVAL,DJ STENT REMOVAL
LT TB2,LT TB2
TRACHEOSTOMY GA,TRACHEOSTOMY
AVBG RT UPPERARM,AVBG LT UPPERARM
RT FOREARM LOOP AVBG,LT FOREARM LOOP AVBG
VP SHUNT,VP SHUNT
UPPER BLEPHALOPLASTY,UPPER BLEPHALOPLASTY
RT URSL,RT URSL
REVISE TCC LT IJV,REVISE TCC LT IJV
OFF RT DJ STENT,OFF DJ STENT
FLEX CYSTOSCOPY WITH REMOVE DJ STENT,FLEX CYSTOSCOPY WITH REMOVE DJ STENT
TOTAL THYROIDECTOMY,OPEN TOTAL THYROIDECTOMY
OPEN SUBTOTAL PARATHYROIDECTOMY UNDER GA,OPEN SUBTOTAL PARATHYROIDECTOMY UNDER GA
CYSTOGRAM,CYSTOGRAM
BILAT FESS WITH MICRODEBRIDER WITH NAVIGATOR,BILAT FESS WITH MICRODEBRIDER WITH NAVIGATOR
REMOVE DJ STENT,DJ STENT REMOVAL
LT BB TRANSPOSITION,LT BB TRANSPOSITION
RIGHT TOETVA,RIGHT TOETVA
EXCISION RT BREAST MASS,EXCISION RT BREAST MASS
AVF LEFT CUBITAL,AVF LT CUBITAL
CRANIOPLASTY,CRANIOPLASTY
VASECTOMY AND LIGATION OF VAS DEFERENS,VASECTOMY AND LIGATION OF VAS DEFERENS
EXCISIONAL DB,EXCISIONAL DB
SURVEILLANCE COLONOSCOPY,SURVEILLANCE COLONOSCOPY
CRANIOTOMY WITH TUMOR REMOVAL,CRANIOTOMY WITH TUMOR REMOVAL
TONSILLECTOMY WITHOUT ADENOIDECTOMY,TONSILLECTOMY WITHOUT ADENOIDECTOMY
OPEN TTD,OPEN TTD
RT MASTECTOMY WITH SLNB,RT MASTECTOMY WITH SLNB
OPEN GASTROSTOMY,OPEN GASTROSTOMY
LAP RADICAL PROSTATECTOMY,LAP RADICAL PROSTATECTOMY
OPEN LEFT THYROID LOBECTOMY AND ISTHMECTOMY,OPEN LEFT THYROID LOBECTOMY AND ISTHMECTOMY
EXCISION MASS,EXCISION MASS
BILATERAL ORCHIECTOMY,BILATERAL ORCHIECTOMY
SURVEILLANCE CYSTOSCOPY,SURVEILLANCE CYSTOSCOPY
LOCAL EXCISION OF LESION OF BREAST,LOCAL EXCISION OF LESION OF BREAST
FISTULOGRAM PTA STENT,FISTULOGRAM PTA STENT
EXCISION OF SALIVALY GLAND,EXCISION OF SALIVALY GLAND
PARTIAL GLOSSECTOMY,PARTIAL GLOSSECTOMY
TRANSANAL EXCISION,TRANSANAL EXCISION
CHANGE VACUUM DRESSING,CHANGE VAC DRESSING
OC,OC
LAP TAPP RT,LAP TAPP RT
PROXIMALIZATION AVF LT WRIST,PROXIMALIZATION AVF LT WRIST
CYSTOSCOPY DILATE URETHRA,CYSTOSCOPY DILATE URETHRA
RF NOSE PALATE LA,RF NOSE PALATE LA
RT LAP TAPP,LAP TAPP RT
MICROWAVE ABLATION UNDER LA,MICROWAVE ABLATION UNDER LA
REVISE TCC RT IJV PALINDROME,REVISE TCC RT IJV PALINDROME
REVISE TCC RT FV CENTROS,REVISE TCC RT IJV CENTROS
EXCISION OF LESION OF OTHER SOFT TISSUE,EXCISION OF LESION OF OTHER SOFT TISSUE
OTHER EXCISION OF SALIVARY GLAND LESION,OTHER EXCISION OF SALIVARY GLAND LESION
REVISE AVBG,REVISE AVBG
EXCISION OF LESION OF SALIVARY GLAND,OTHER EXCISION OF SALIVARY GLAND LESION
CHANGE VAC,CHANGE VAC
UB,UB
EXCISIONAL BX,EXCISIONAL DB
SUR CYSTO,SUR CYSTO
CORRECTION OF EYELID,CORRECTION OF EYELID
TCC RT EJV,TCC RT IJV
TRACHEOSTOMY UNDER GA,TRACHEOSTOMY UNDER GA
RADICAL CYSTECTOMY WITH ILEAL CONDUIT,RADICAL CYSTECTOMY WITH ILEAL CONDUIT
TB2,TB2
